%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+4.167e+03	+1.527e+03	+4.738e+03	+0.268
0.200	+3.666e+03	+1.048e+03	+4.214e+03	+0.222
0.400	+4.881e+03	+1.594e+03	+2.627e+03	+0.246
0.600	+4.583e+03	+9.973e+02	+4.637e+03	+0.179
0.800	+2.159e+03	+5.373e+02	+4.431e+03	+0.199
1.000	+6.135e+03	+8.147e+02	+4.926e+03	+0.117
1.200	+2.969e+03	+6.570e+02	+5.756e+03	+0.181
1.400	+3.502e+03	+6.175e+02	+4.306e+03	+0.150
1.600	+4.553e+03	+1.433e+03	+4.044e+03	+0.239
1.800	+4.612e+03	+1.280e+03	+5.463e+03	+0.217
2.000	+3.997e+03	+9.722e+02	+4.637e+03	+0.196
2.200	+3.157e+03	+7.013e+02	+3.881e+03	+0.182
2.400	+2.784e+03	+1.754e+03	+4.083e+03	+0.387
2.600	+5.164e+03	+1.035e+03	+4.963e+03	+0.167
2.800	+4.277e+03	+7.151e+02	+4.508e+03	+0.143
3.000	+3.950e+03	+8.479e+02	+3.672e+03	+0.177
3.200	+2.850e+03	+1.361e+03	+4.556e+03	+0.323
3.400	+5.229e+03	+5.613e+02	+4.834e+03	+0.097
3.600	+4.219e+03	+1.189e+03	+4.503e+03	+0.220
3.800	+4.335e+03	+1.597e+03	+3.659e+03	+0.269
4.000	+4.192e+03	+9.782e+02	+4.924e+03	+0.189
4.200	+4.330e+03	+1.308e+03	+4.285e+03	+0.232
4.400	+4.146e+03	+7.903e+02	+2.798e+03	+0.160
4.600	+4.486e+03	+1.049e+03	+4.322e+03	+0.190
4.800	+2.724e+03	+1.018e+03	+5.564e+03	+0.272
5.000	+4.137e+03	+1.837e+03	+3.520e+03	+0.307
5.200	+3.356e+03	+4.855e+02	+2.598e+03	+0.126
5.400	+3.171e+03	+1.241e+03	+4.662e+03	+0.281
5.600	+4.677e+03	+1.449e+03	+5.514e+03	+0.237
5.800	+3.853e+03	+1.944e+03	+4.602e+03	+0.335
6.000	+4.122e+03	+1.824e+03	+4.650e+03	+0.307
6.200	+4.337e+03	+1.067e+03	+4.739e+03	+0.197
6.400	+4.356e+03	+1.127e+03	+5.235e+03	+0.206
6.600	+4.656e+03	+1.560e+03	+4.481e+03	+0.251
6.800	+3.794e+03	+1.907e+03	+5.325e+03	+0.335
7.000	+4.072e+03	+9.453e+02	+5.504e+03	+0.188
7.200	+3.722e+03	+9.131e+02	+4.501e+03	+0.197
7.400	+3.158e+03	+1.547e+03	+4.048e+03	+0.329
7.600	+1.322e+03	+3.221e+03	+3.510e+03	+0.709
7.800	+2.094e+03	+3.088e+03	+5.106e+03	+0.596
8.000	+5.210e+02	+3.486e+03	+4.987e+03	+0.870
8.200	+1.203e+03	+2.874e+03	+4.235e+03	+0.705
8.400	+9.809e+02	+3.557e+03	+5.280e+03	+0.784
8.600	+2.000e+03	+3.196e+03	+3.032e+03	+0.615
8.800	+3.417e+02	+3.678e+03	+4.234e+03	+0.915
9.000	+1.221e+03	+3.532e+03	+3.627e+03	+0.743
9.200	+1.646e+03	+3.357e+03	+3.458e+03	+0.671
9.400	+2.864e+03	+1.489e+03	+4.376e+03	+0.342
9.600	+4.814e+03	+9.289e+02	+5.355e+03	+0.162
9.800	+3.109e+03	+1.798e+03	+4.400e+03	+0.366
10.000	+4.501e+03	+7.279e+02	+4.892e+03	+0.139
10.200	+4.118e+03	+1.163e+03	+4.070e+03	+0.220
10.400	+3.654e+03	+9.028e+02	+4.557e+03	+0.198
10.600	+3.456e+03	+1.925e+03	+5.122e+03	+0.358
10.800	+4.053e+03	+1.316e+03	+3.175e+03	+0.245
11.000	+3.506e+03	+1.414e+03	+2.546e+03	+0.287
11.200	+4.294e+03	+5.756e+02	+3.710e+03	+0.118
11.400	+3.551e+03	+1.210e+03	+5.158e+03	+0.254
11.600	+3.301e+03	+1.664e+03	+4.495e+03	+0.335
11.800	+2.027e+03	+6.665e+02	+4.107e+03	+0.247
12.000	+4.329e+03	+1.266e+03	+5.027e+03	+0.226
12.200	+4.474e+03	+6.884e+02	+3.987e+03	+0.133
12.400	+3.220e+03	+1.216e+03	+6.029e+03	+0.274
12.600	+4.697e+03	+1.676e+03	+4.611e+03	+0.263
12.800	+4.187e+03	+1.646e+03	+3.726e+03	+0.282
13.000	+3.964e+03	+1.228e+03	+4.373e+03	+0.237
13.200	+4.601e+03	+1.064e+03	+5.926e+03	+0.188
13.400	+4.776e+03	+1.506e+03	+5.427e+03	+0.240
13.600	+2.678e+03	+1.626e+03	+4.822e+03	+0.378
13.800	+3.380e+03	+5.457e+02	+4.043e+03	+0.139
14.000	+3.671e+03	+1.409e+03	+3.570e+03	+0.277
14.200	+3.545e+03	+1.114e+03	+4.881e+03	+0.239
14.400	+3.012e+03	+7.670e+02	+4.123e+03	+0.203
14.600	+3.767e+03	+1.404e+03	+5.173e+03	+0.271
14.800	+3.028e+03	+1.013e+03	+3.595e+03	+0.251
15.000	+2.567e+03	+1.699e+03	+4.608e+03	+0.398
15.200	+3.037e+03	+1.089e+03	+4.563e+03	+0.264
15.400	+4.577e+03	+9.210e+02	+6.365e+03	+0.168
15.600	+3.777e+03	+5.369e+02	+3.698e+03	+0.124
15.800	+2.135e+03	+1.409e+03	+3.291e+03	+0.398
16.000	+9.116e+02	+2.457e+03	+4.145e+03	+0.729
16.200	+2.032e+03	+3.539e+03	+4.837e+03	+0.635
16.400	+1.338e+03	+3.998e+03	+5.960e+03	+0.749
16.600	+1.795e+03	+3.299e+03	+3.014e+03	+0.648
16.800	+1.385e+03	+3.848e+03	+4.675e+03	+0.735
17.000	+1.032e+03	+4.030e+03	+4.393e+03	+0.796
17.200	+9.269e+02	+2.327e+03	+3.572e+03	+0.715
17.400	+1.375e+03	+4.633e+03	+5.813e+03	+0.771
17.600	+1.134e+03	+3.584e+03	+4.781e+03	+0.760
17.800	+2.455e+03	+1.779e+03	+5.235e+03	+0.420
18.000	+4.335e+03	+1.116e+03	+3.221e+03	+0.205
18.200	+4.079e+03	+5.782e+02	+4.761e+03	+0.124
18.400	+3.414e+03	+9.958e+02	+3.252e+03	+0.226
18.600	+2.494e+03	+1.487e+03	+5.069e+03	+0.373
18.800	+4.997e+03	+1.112e+03	+3.526e+03	+0.182
19.000	+4.044e+03	+1.734e+03	+5.005e+03	+0.300
19.200	+4.249e+03	+5.267e+02	+4.743e+03	+0.110
19.400	+3.121e+03	+8.774e+02	+5.341e+03	+0.219
19.600	+2.225e+03	+2.623e+03	+5.321e+03	+0.541
19.800	+1.498e+03	+4.668e+03	+3.779e+03	+0.757
20.000	+1.081e+03	+3.269e+03	+4.595e+03	+0.751
20.200	+1.653e+03	+2.441e+03	+5.776e+03	+0.596
20.400	+6.911e+02	+4.335e+03	+4.473e+03	+0.862
20.600	+2.762e+03	+1.697e+03	+4.426e+03	+0.381
20.800	+4.622e+03	+7.122e+02	+4.155e+03	+0.134
