%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+6.199e+03	+9.319e+02	+6.489e+03	+0.131
0.200	+6.135e+03	+9.430e+02	+3.923e+03	+0.133
0.400	+3.934e+03	+1.251e+03	+7.077e+03	+0.241
0.600	+5.497e+03	+3.550e+02	+6.600e+03	+0.061
0.800	+4.494e+03	+9.040e+02	+4.786e+03	+0.167
1.000	+5.200e+03	+1.284e+03	+3.927e+03	+0.198
1.200	+6.334e+03	-3.696e+01	+5.482e+03	-0.006
1.400	+4.227e+03	-3.927e+02	+5.111e+03	-0.102
1.600	+4.751e+03	+1.376e+03	+8.071e+03	+0.225
1.800	+6.991e+03	+1.599e+03	+7.760e+03	+0.186
2.000	+6.823e+03	+1.592e+03	+7.275e+03	+0.189
2.200	+4.429e+03	+5.857e+02	+7.114e+03	+0.117
2.400	+6.014e+03	+1.123e+03	+7.432e+03	+0.157
2.600	+4.932e+03	+1.562e+03	+5.337e+03	+0.241
2.800	+5.765e+03	+7.739e+02	+5.476e+03	+0.118
3.000	+5.288e+03	+9.941e+02	+5.791e+03	+0.158
3.200	+4.326e+03	+7.722e+02	+5.754e+03	+0.151
3.400	+4.246e+03	+1.006e+03	+5.695e+03	+0.192
3.600	+4.644e+03	+5.042e+02	+6.593e+03	+0.098
3.800	+4.049e+03	+4.623e+02	+4.711e+03	+0.102
4.000	+5.125e+03	+8.105e+02	+5.392e+03	+0.137
4.200	+5.836e+03	+1.323e+03	+5.413e+03	+0.185
4.400	+4.492e+03	+1.376e+03	+6.318e+03	+0.234
4.600	+5.956e+03	+1.049e+03	+7.523e+03	+0.150
4.800	+6.743e+03	+9.639e+02	+6.514e+03	+0.125
5.000	+5.859e+03	+6.203e+02	+6.273e+03	+0.096
5.200	+6.665e+03	+1.314e+03	+4.554e+03	+0.165
5.400	+4.842e+03	+1.213e+03	+4.908e+03	+0.200
5.600	+4.990e+03	+9.554e+02	+3.963e+03	+0.161
5.800	+5.674e+03	-2.200e+01	+6.921e+03	-0.004
6.000	+5.207e+03	+1.197e+03	+8.431e+03	+0.187
6.200	+5.778e+03	+4.091e+02	+5.153e+03	+0.066
6.400	+5.345e+03	+1.081e+03	+6.703e+03	+0.168
6.600	+4.995e+03	+7.088e+02	+7.763e+03	+0.124
6.800	+5.065e+03	+2.681e+02	+7.095e+03	+0.050
7.000	+4.748e+03	+1.102e+03	+6.997e+03	+0.188
7.200	+6.166e+03	+2.205e+03	+7.225e+03	+0.263
7.400	+5.612e+03	+7.209e+02	+6.668e+03	+0.114
7.600	+4.870e+03	+1.570e+03	+6.177e+03	+0.244
7.800	+5.207e+03	-2.972e+02	+4.769e+03	-0.061
8.000	+5.228e+03	+4.698e+02	+4.496e+03	+0.082
8.200	+5.150e+03	+7.299e+02	+5.583e+03	+0.124
8.400	+4.485e+03	+6.782e+02	+7.021e+03	+0.131
8.600	+7.113e+03	+5.279e+02	+5.553e+03	+0.069
8.800	+5.962e+03	+1.316e+03	+6.582e+03	+0.181
9.000	+5.708e+03	+5.767e+02	+5.285e+03	+0.092
9.200	+5.879e+03	+9.136e+02	+7.077e+03	+0.135
9.400	+5.029e+03	+9.579e+02	+5.967e+03	+0.160
9.600	+5.003e+03	+2.150e+02	+5.739e+03	+0.041
9.800	+4.654e+03	+7.368e+02	+6.506e+03	+0.137
10.000	+4.494e+03	+8.411e+02	+6.311e+03	+0.158
10.200	+4.848e+03	+8.235e+01	+6.623e+03	+0.017
10.400	+6.054e+03	+1.273e+03	+5.286e+03	+0.174
10.600	+4.025e+03	+9.547e+02	+5.528e+03	+0.192
10.800	+4.914e+03	+7.507e+02	+4.941e+03	+0.133
11.000	+6.779e+03	-1.170e+02	+5.929e+03	-0.018
11.200	+6.655e+03	+9.276e+02	+6.674e+03	+0.122
11.400	+5.243e+03	+1.256e+03	+8.073e+03	+0.193
11.600	+5.002e+03	+1.223e+03	+6.299e+03	+0.197
11.800	+4.437e+03	+4.690e+02	+7.194e+03	+0.096
12.000	+4.648e+03	+4.463e+02	+5.626e+03	+0.088
12.200	+5.524e+03	+9.527e+02	+5.547e+03	+0.147
12.400	+5.516e+03	+1.151e+03	+5.916e+03	+0.173
12.600	+4.073e+03	+2.874e+02	+7.841e+03	+0.066
12.800	+5.420e+03	+7.678e+02	+7.382e+03	+0.124
13.000	+4.048e+03	+6.633e+02	+6.030e+03	+0.141
13.200	+6.217e+03	+1.433e+03	+3.344e+03	+0.187
13.400	+5.460e+03	+8.241e+02	+6.665e+03	+0.131
13.600	+4.425e+03	+1.092e+03	+5.672e+03	+0.198
13.800	+3.585e+03	+4.162e+02	+6.908e+03	+0.104
14.000	+4.116e+03	+1.124e+03	+5.938e+03	+0.214
14.200	+6.432e+03	+2.030e+02	+4.663e+03	+0.031
14.400	+4.074e+03	+4.736e+02	+6.397e+03	+0.104
14.600	+6.482e+03	+1.456e+03	+6.936e+03	+0.183
