%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+1.798e+03	+3.962e+03	+5.078e+03	+0.688
0.200	+1.888e+03	+4.845e+03	+4.801e+03	+0.720
0.400	+1.766e+03	+3.747e+03	+5.932e+03	+0.680
0.600	+1.631e+03	+5.005e+03	+5.707e+03	+0.754
0.800	+1.961e+03	+4.291e+03	+3.870e+03	+0.686
1.000	+1.383e+03	+4.052e+03	+4.812e+03	+0.746
1.200	+1.343e+03	+4.536e+03	+5.211e+03	+0.771
1.400	+1.333e+03	+3.049e+03	+3.796e+03	+0.696
1.600	+1.523e+03	+3.680e+03	+3.517e+03	+0.707
1.800	+1.571e+03	+5.092e+03	+3.251e+03	+0.764
2.000	+8.575e+02	+4.646e+03	+3.481e+03	+0.844
2.200	+2.108e+03	+3.052e+03	+3.512e+03	+0.591
2.400	+1.988e+03	+2.790e+03	+4.682e+03	+0.584
2.600	+9.172e+02	+3.016e+03	+3.698e+03	+0.767
2.800	+1.159e+03	+3.847e+03	+5.160e+03	+0.768
3.000	+1.118e+03	+4.420e+03	+4.135e+03	+0.798
3.200	+1.225e+03	+3.450e+03	+2.696e+03	+0.738
3.400	+7.784e+02	+4.262e+03	+5.267e+03	+0.846
3.600	+1.033e+03	+3.339e+03	+4.261e+03	+0.764
3.800	+1.355e+03	+3.634e+03	+5.025e+03	+0.728
4.000	+1.960e+03	+4.465e+03	+3.815e+03	+0.695
4.200	+1.269e+03	+4.426e+03	+3.591e+03	+0.777
4.400	+1.902e+03	+3.690e+03	+3.472e+03	+0.660
4.600	+1.126e+03	+3.675e+03	+4.564e+03	+0.765
4.800	+1.066e+03	+3.074e+03	+5.439e+03	+0.743
5.000	+1.165e+03	+4.736e+03	+3.256e+03	+0.803
5.200	+1.338e+03	+2.653e+03	+5.567e+03	+0.665
5.400	+7.754e+02	+2.380e+03	+3.707e+03	+0.754
5.600	+1.789e+03	+6.030e+03	+3.923e+03	+0.771
5.800	+1.361e+03	+4.240e+03	+4.364e+03	+0.757
6.000	+2.109e+03	+4.185e+03	+3.873e+03	+0.665
6.200	+1.126e+03	+2.449e+03	+4.315e+03	+0.685
6.400	+9.892e+02	+4.035e+03	+5.375e+03	+0.803
6.600	+1.512e+03	+2.616e+03	+3.712e+03	+0.634
6.800	+2.300e+03	+3.913e+03	+5.117e+03	+0.630
