%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+5.477e+03	+5.761e+02	+8.008e+03	+0.095
0.200	+3.314e+03	+1.588e+03	+5.780e+03	+0.324
0.400	+4.069e+03	+1.387e+03	+7.156e+03	+0.254
0.600	+5.654e+03	+3.371e+02	+5.704e+03	+0.056
0.800	+3.702e+03	+5.198e+02	+7.617e+03	+0.123
1.000	+4.917e+03	+1.633e+03	+5.534e+03	+0.249
1.200	+5.469e+03	+1.502e+03	+6.108e+03	+0.215
1.400	+4.047e+03	+1.490e+03	+5.831e+03	+0.269
1.600	+5.707e+03	+1.218e+03	+6.386e+03	+0.176
1.800	+2.791e+03	+3.211e+03	+5.939e+03	+0.535
2.000	+2.510e+03	+5.070e+03	+7.178e+03	+0.669
2.200	+5.384e+03	+1.496e+03	+5.868e+03	+0.217
2.400	+4.833e+03	+3.792e+02	+6.130e+03	+0.073
2.600	+3.195e+03	+1.623e+03	+7.210e+03	+0.337
2.800	+5.293e+03	+1.290e+03	+6.688e+03	+0.196
3.000	+5.748e+03	+1.642e+03	+7.280e+03	+0.222
3.200	+4.001e+03	+2.049e+03	+5.859e+03	+0.339
3.400	+4.279e+03	+2.097e+03	+6.946e+03	+0.329
3.600	+5.204e+03	+1.717e+03	+4.409e+03	+0.248
3.800	+6.166e+03	+1.322e+03	+6.744e+03	+0.177
4.000	+4.529e+03	+1.532e+03	+5.480e+03	+0.253
4.200	+2.544e+03	+8.341e+02	+6.603e+03	+0.247
4.400	+5.085e+03	+1.477e+03	+4.964e+03	+0.225
4.600	+5.129e+03	+1.588e+03	+4.125e+03	+0.236
4.800	+4.408e+03	+2.072e+03	+7.189e+03	+0.320
5.000	+5.656e+03	+1.339e+03	+3.401e+03	+0.191
5.200	+2.912e+03	+1.012e+03	+7.772e+03	+0.258
5.400	+4.329e+03	+1.891e+03	+6.914e+03	+0.304
5.600	+5.370e+03	+2.456e+03	+6.282e+03	+0.314
5.800	+4.771e+03	+1.402e+03	+7.423e+03	+0.227
6.000	+5.097e+03	-4.282e+02	+6.508e+03	-0.092
6.200	+5.259e+03	+1.638e+03	+6.789e+03	+0.238
6.400	+6.534e+03	+8.814e+02	+5.715e+03	+0.119
6.600	+5.469e+03	+1.379e+03	+5.678e+03	+0.201
6.800	+4.519e+03	+1.996e+03	+5.377e+03	+0.306
7.000	+6.425e+03	+1.651e+03	+6.228e+03	+0.204
7.200	+4.869e+03	+8.209e+02	+6.768e+03	+0.144
7.400	+4.154e+03	+1.318e+03	+6.673e+03	+0.241
7.600	+4.648e+03	+1.383e+03	+7.803e+03	+0.229
7.800	+5.403e+03	+6.538e+02	+8.267e+03	+0.108
8.000	+5.664e+03	+9.458e+02	+5.311e+03	+0.143
8.200	+5.786e+03	+1.830e+03	+6.537e+03	+0.240
8.400	+5.545e+03	+9.334e+02	+6.725e+03	+0.144
8.600	+6.174e+03	+1.754e+03	+6.288e+03	+0.221
8.800	+4.314e+03	+1.096e+03	+7.004e+03	+0.203
9.000	+4.142e+03	+1.650e+03	+5.528e+03	+0.285
9.200	+2.938e+03	+1.261e+03	+6.376e+03	+0.300
9.400	+6.384e+03	+1.043e+03	+5.683e+03	+0.140
9.600	+4.815e+03	+1.129e+03	+6.223e+03	+0.190
9.800	+5.405e+03	+1.330e+03	+6.706e+03	+0.197
10.000	+5.410e+03	+2.211e+03	+8.408e+03	+0.290
10.200	+5.744e+03	+1.341e+03	+6.831e+03	+0.189
10.400	+5.088e+03	+2.508e+03	+7.083e+03	+0.330
10.600	+5.087e+03	+7.844e+02	+6.033e+03	+0.134
10.800	+5.554e+03	+1.330e+03	+4.734e+03	+0.193
11.000	+4.561e+03	+9.954e+02	+6.108e+03	+0.179
11.200	+5.653e+03	+8.621e+02	+7.345e+03	+0.132
11.400	+4.104e+03	+1.953e+03	+5.963e+03	+0.322
