%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+4.357e+03	+1.378e+03	+5.002e+03	+0.240
0.200	+4.178e+03	+4.556e+02	+6.642e+03	+0.098
0.400	+3.170e+03	+7.347e+01	+5.195e+03	+0.023
0.600	+3.765e+03	+6.114e+02	+5.920e+03	+0.140
0.800	+4.541e+03	+1.703e+03	+4.786e+03	+0.273
1.000	+4.173e+03	+9.767e+02	+5.447e+03	+0.190
1.200	+2.945e+03	+1.124e+03	+5.718e+03	+0.276
1.400	+4.597e+03	+1.066e+02	+5.630e+03	+0.023
1.600	+4.413e+03	+1.167e+03	+5.817e+03	+0.209
1.800	+4.824e+03	+9.487e+02	+5.784e+03	+0.164
2.000	+4.059e+03	+7.057e+01	+4.715e+03	+0.017
2.200	+3.719e+03	+2.371e+02	+5.256e+03	+0.060
2.400	+4.178e+03	+5.132e+02	+5.598e+03	+0.109
2.600	+3.740e+03	+9.624e+02	+6.306e+03	+0.205
2.800	+4.194e+03	+1.467e+03	+4.272e+03	+0.259
3.000	+3.289e+03	+1.352e+03	+5.053e+03	+0.291
3.200	+3.076e+03	+1.473e+03	+3.895e+03	+0.324
3.400	+4.411e+03	+1.474e+03	+4.733e+03	+0.251
3.600	+3.107e+03	+1.107e+03	+5.018e+03	+0.263
3.800	+3.474e+03	+1.504e+03	+5.936e+03	+0.302
4.000	+3.933e+03	+1.102e+03	+3.866e+03	+0.219
4.200	+4.923e+03	+3.529e+02	+4.338e+03	+0.067
4.400	+4.750e+03	+1.498e+03	+4.852e+03	+0.240
4.600	+4.478e+03	+7.530e+02	+3.980e+03	+0.144
4.800	+3.642e+03	+6.717e+02	+5.120e+03	+0.156
5.000	+2.654e+03	-1.451e+01	+5.425e+03	-0.005
5.200	+4.208e+03	+2.022e+02	+3.835e+03	+0.046
5.400	+2.891e+03	+1.373e+03	+3.925e+03	+0.322
5.600	+3.933e+03	+8.606e+02	+5.439e+03	+0.180
5.800	+3.243e+03	+8.380e+02	+5.179e+03	+0.205
6.000	+4.320e+03	+2.483e+02	+5.670e+03	+0.054
6.200	+4.263e+03	+1.596e+03	+6.362e+03	+0.272
6.400	+4.391e+03	+5.147e+02	+3.512e+03	+0.105
6.600	+3.801e+03	+4.121e+02	+4.782e+03	+0.098
6.800	+3.341e+03	+8.438e+02	+3.767e+03	+0.202
7.000	+4.346e+03	+7.696e+02	+5.417e+03	+0.150
7.200	+3.709e+03	+5.045e+02	+5.970e+03	+0.120
7.400	+4.749e+03	+9.978e+02	+5.010e+03	+0.174
7.600	+3.691e+03	+9.608e+02	+4.150e+03	+0.207
7.800	+4.673e+03	+8.238e+02	+5.291e+03	+0.150
8.000	+3.015e+03	+1.243e+03	+3.476e+03	+0.292
