%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+1.475e-01
2	2	+1.475e-01	+4.506e-01
3	3	+5.981e-01	+1.185e+00
2	2	+1.783e+00	+1.209e+00
1	1	+2.992e+00	+1.172e+00
3	3	+4.163e+00	+3.062e+00
2	2	+7.225e+00	+3.114e+00
1	1	+1.034e+01	+1.946e+00
2	2	+1.229e+01	+4.592e-01
3	3	+1.274e+01	+8.577e-01
2	2	+1.360e+01	+2.067e+00
1	1	+1.567e+01	+1.606e+00
3	3	+1.727e+01	+6.072e-01
2	2	+1.788e+01	+3.413e-02
3	3	+1.792e+01	+1.070e+00
1	1	+1.899e+01	+2.189e+00
3	3	+2.118e+01	+2.172e-01
2	2	+2.139e+01	+2.235e-01
1	1	+2.162e+01	+1.102e+00
3	3	+2.272e+01	+8.233e-01
2	2	+2.354e+01	+1.269e+00
1	1	+2.481e+01	+1.030e-01
0	0	+2.491e+01	+Inf
