%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+1.382e+01
2	2	+1.382e+01	+4.080e+00
1	1	+1.790e+01	+6.449e-01
2	2	+1.854e+01	+3.736e+00
1	1	+2.228e+01	+4.035e-01
3	3	+2.268e+01	+3.051e+00
2	2	+2.573e+01	+2.945e-01
3	3	+2.603e+01	+5.960e+00
2	2	+3.199e+01	+1.350e-01
3	3	+3.212e+01	+1.310e+00
1	1	+3.343e+01	+7.798e-01
3	3	+3.421e+01	+1.316e+00
2	2	+3.553e+01	+2.139e+00
3	3	+3.766e+01	+4.747e-01
2	2	+3.814e+01	+2.837e+00
3	3	+4.098e+01	+1.714e+00
1	1	+4.269e+01	+3.438e-01
2	2	+4.303e+01	+7.656e-01
1	1	+4.380e+01	+9.714e-02
3	3	+4.390e+01	+3.368e-01
2	2	+4.423e+01	+1.409e+00
0	0	+4.564e+01	+Inf
