%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+1.850e+00
3	3	+1.850e+00	+5.863e-02
2	2	+1.909e+00	+5.001e-01
1	1	+2.409e+00	+9.808e-01
2	2	+3.390e+00	+1.145e+00
1	1	+4.535e+00	+2.484e+00
3	3	+7.019e+00	+2.162e+00
1	1	+9.181e+00	+4.402e-01
3	3	+9.621e+00	+3.031e-01
2	2	+9.925e+00	+2.120e-01
3	3	+1.014e+01	+5.062e+00
2	2	+1.520e+01	+4.438e+00
1	1	+1.964e+01	+6.841e-02
3	3	+1.970e+01	+6.007e-01
2	2	+2.031e+01	+7.268e-01
3	3	+2.103e+01	+2.351e+00
2	2	+2.338e+01	+1.132e+00
1	1	+2.452e+01	+6.760e+00
2	2	+3.128e+01	+1.489e+00
3	3	+3.276e+01	+5.838e-01
2	2	+3.335e+01	+2.015e-01
3	3	+3.355e+01	+1.886e+00
2	2	+3.544e+01	+2.938e+00
1	1	+3.837e+01	+1.621e-01
2	2	+3.854e+01	+2.451e-01
3	3	+3.878e+01	+2.870e+00
2	2	+4.165e+01	+4.208e-01
1	1	+4.207e+01	+2.781e-01
3	3	+4.235e+01	+5.360e-01
2	2	+4.289e+01	+5.836e-02
3	3	+4.294e+01	+5.387e+00
1	1	+4.833e+01	+2.481e+00
2	2	+5.081e+01	+6.719e-01
3	3	+5.148e+01	+1.841e+00
2	2	+5.332e+01	+1.505e+00
1	1	+5.483e+01	+6.949e-01
3	3	+5.552e+01	+9.797e-01
2	2	+5.650e+01	+4.321e-01
3	3	+5.694e+01	+9.150e-02
2	2	+5.703e+01	+3.119e+00
3	3	+6.015e+01	+7.815e-01
2	2	+6.093e+01	+2.019e-01
1	1	+6.113e+01	+4.906e-02
2	2	+6.118e+01	+2.692e+00
3	3	+6.387e+01	+1.457e+00
2	2	+6.533e+01	+1.595e+00
3	3	+6.692e+01	+2.946e+00
2	2	+6.987e+01	+1.513e-01
1	1	+7.002e+01	+3.551e-01
2	2	+7.038e+01	+5.098e-01
3	3	+7.089e+01	+5.912e+00
2	2	+7.680e+01	+2.806e-01
3	3	+7.708e+01	+9.811e-01
2	2	+7.806e+01	+1.711e-01
3	3	+7.823e+01	+5.814e+00
2	2	+8.404e+01	+1.566e-01
3	3	+8.420e+01	+1.933e+00
1	1	+8.613e+01	+7.132e-02
3	3	+8.621e+01	+8.237e-01
2	2	+8.703e+01	+1.252e+00
1	1	+8.828e+01	+2.291e-01
2	2	+8.851e+01	+1.665e-01
1	1	+8.868e+01	+4.770e-01
3	3	+8.915e+01	+8.293e-01
2	2	+8.998e+01	+1.431e+00
1	1	+9.141e+01	+3.965e-01
3	3	+9.181e+01	+2.777e+00
2	2	+9.459e+01	+7.094e-01
1	1	+9.530e+01	+2.538e+00
2	2	+9.783e+01	+1.175e+00
3	3	+9.901e+01	+1.577e+00
2	2	+1.006e+02	+1.480e+00
1	1	+1.021e+02	+1.004e+00
2	2	+1.031e+02	+5.340e-01
1	1	+1.036e+02	+7.292e+00
3	3	+1.109e+02	+8.791e-01
2	2	+1.118e+02	+9.014e-01
3	3	+1.127e+02	+8.225e-01
2	2	+1.135e+02	+4.466e-01
3	3	+1.139e+02	+1.725e+00
2	2	+1.157e+02	+2.083e+00
3	3	+1.178e+02	+3.679e+00
2	2	+1.214e+02	+1.479e+00
3	3	+1.229e+02	+1.087e-02
1	1	+1.229e+02	+1.486e+00
3	3	+1.244e+02	+1.294e+00
2	2	+1.257e+02	+4.045e-01
3	3	+1.261e+02	+5.575e+00
2	2	+1.317e+02	+8.411e-02
1	1	+1.318e+02	+2.233e+00
2	2	+1.340e+02	+1.207e+00
1	1	+1.352e+02	+8.256e-01
2	2	+1.360e+02	+1.306e+00
3	3	+1.373e+02	+3.423e+00
1	1	+1.408e+02	+1.419e-01
2	2	+1.409e+02	+1.825e+00
3	3	+1.427e+02	+6.862e-02
2	2	+1.428e+02	+4.344e+00
1	1	+1.471e+02	+2.578e+00
2	2	+1.497e+02	+7.274e-01
3	3	+1.504e+02	+1.833e+00
2	2	+1.523e+02	+2.289e+00
3	3	+1.546e+02	+1.822e+00
2	2	+1.564e+02	+2.617e+00
1	1	+1.590e+02	+3.337e+00
3	3	+1.623e+02	+4.453e-01
2	2	+1.628e+02	+2.174e+00
1	1	+1.650e+02	+7.138e-02
3	3	+1.650e+02	+5.608e+00
2	2	+1.706e+02	+7.864e-01
1	1	+1.714e+02	+7.713e-01
3	3	+1.722e+02	+2.879e-01
2	2	+1.725e+02	+4.556e-02
3	3	+1.725e+02	+4.952e+00
2	2	+1.775e+02	+9.183e-01
1	1	+1.784e+02	+1.932e+00
2	2	+1.803e+02	+4.199e-01
3	3	+1.808e+02	+1.503e+00
2	2	+1.823e+02	+1.399e+00
1	1	+1.837e+02	+1.336e+00
3	3	+1.850e+02	+4.350e-01
2	2	+1.854e+02	+2.351e-01
0	0	+1.857e+02	+Inf
