%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+1.433e+00
3	3	+1.433e+00	+4.683e-01
2	2	+1.901e+00	+1.763e+00
3	3	+3.664e+00	+6.692e-02
2	2	+3.731e+00	+2.742e+00
3	3	+6.473e+00	+4.606e+00
2	2	+1.108e+01	+9.471e-01
1	1	+1.203e+01	+9.865e-01
2	2	+1.301e+01	+2.189e+00
3	3	+1.520e+01	+3.163e-01
2	2	+1.552e+01	+1.521e+00
3	3	+1.704e+01	+4.756e+00
2	2	+2.179e+01	+1.788e+00
1	1	+2.358e+01	+1.796e+00
3	3	+2.538e+01	+1.385e-01
2	2	+2.552e+01	+5.397e-01
1	1	+2.606e+01	+8.477e-01
3	3	+2.690e+01	+2.002e+00
2	2	+2.891e+01	+8.583e-02
1	1	+2.899e+01	+6.290e-01
2	2	+2.962e+01	+1.255e+00
1	1	+3.088e+01	+2.372e-01
3	3	+3.111e+01	+8.850e-01
2	2	+3.200e+01	+1.695e+00
1	1	+3.369e+01	+1.875e+00
3	3	+3.557e+01	+1.776e+00
2	2	+3.734e+01	+3.074e-01
3	3	+3.765e+01	+5.998e-01
2	2	+3.825e+01	+2.383e+00
1	1	+4.063e+01	+7.337e-01
2	2	+4.137e+01	+2.988e+00
3	3	+4.436e+01	+1.204e+00
2	2	+4.556e+01	+1.968e+00
1	1	+4.753e+01	+1.793e+00
2	2	+4.932e+01	+3.372e-01
1	1	+4.966e+01	+1.286e-01
2	2	+4.979e+01	+1.657e+00
3	3	+5.144e+01	+1.877e+00
2	2	+5.332e+01	+2.219e+00
3	3	+5.554e+01	+1.014e+00
2	2	+5.655e+01	+1.871e+00
1	1	+5.843e+01	+1.158e+00
3	3	+5.958e+01	+1.468e+00
2	2	+6.105e+01	+1.979e+00
3	3	+6.303e+01	+6.848e-01
2	2	+6.372e+01	+1.838e+00
3	3	+6.555e+01	+1.366e+00
2	2	+6.692e+01	+9.785e-01
3	3	+6.790e+01	+1.955e-01
2	2	+6.809e+01	+6.773e-01
3	3	+6.877e+01	+1.057e+00
2	2	+6.983e+01	+1.244e+00
3	3	+7.107e+01	+4.149e-01
2	2	+7.149e+01	+2.041e+00
3	3	+7.353e+01	+4.364e+00
2	2	+7.789e+01	+1.697e+00
3	3	+7.959e+01	+1.199e+00
1	1	+8.079e+01	+5.014e+00
2	2	+8.580e+01	+1.944e+00
3	3	+8.775e+01	+1.596e+00
2	2	+8.934e+01	+4.660e+00
3	3	+9.400e+01	+2.069e+00
1	1	+9.607e+01	+1.321e-01
3	3	+9.621e+01	+3.498e-01
1	1	+9.655e+01	+1.353e+00
3	3	+9.791e+01	+1.021e+01
2	2	+1.081e+02	+4.242e-01
3	3	+1.085e+02	+2.882e+00
2	2	+1.114e+02	+1.193e+00
3	3	+1.126e+02	+1.223e+00
2	2	+1.138e+02	+4.990e+00
1	1	+1.188e+02	+9.778e-02
2	2	+1.189e+02	+1.036e+00
1	1	+1.200e+02	+1.956e-01
3	3	+1.202e+02	+4.945e+00
2	2	+1.251e+02	+2.482e+00
3	3	+1.276e+02	+4.785e+00
2	2	+1.324e+02	+1.091e+00
1	1	+1.335e+02	+2.472e+00
2	2	+1.359e+02	+6.561e-01
3	3	+1.366e+02	+6.979e-01
2	2	+1.373e+02	+7.361e-01
3	3	+1.380e+02	+1.365e+00
2	2	+1.394e+02	+3.441e+00
1	1	+1.428e+02	+1.194e-02
2	2	+1.428e+02	+1.511e+00
3	3	+1.443e+02	+8.304e-01
2	2	+1.452e+02	+3.381e+00
3	3	+1.486e+02	+1.355e+00
2	2	+1.499e+02	+5.354e-01
3	3	+1.504e+02	+2.637e+00
2	2	+1.531e+02	+8.228e-01
3	3	+1.539e+02	+4.853e-01
2	2	+1.544e+02	+2.947e-01
3	3	+1.547e+02	+5.711e-01
2	2	+1.553e+02	+2.809e+00
3	3	+1.581e+02	+1.914e-01
2	2	+1.583e+02	+1.865e+00
1	1	+1.601e+02	+1.428e+00
3	3	+1.616e+02	+1.657e+00
2	2	+1.632e+02	+6.906e-02
1	1	+1.633e+02	+5.192e-01
3	3	+1.638e+02	+2.130e+00
2	2	+1.659e+02	+2.185e+00
1	1	+1.681e+02	+1.389e+00
3	3	+1.695e+02	+5.230e+00
2	2	+1.747e+02	+3.164e+00
3	3	+1.779e+02	+4.813e-01
2	2	+1.784e+02	+3.818e-01
1	1	+1.788e+02	+2.014e+00
2	2	+1.808e+02	+2.363e-01
3	3	+1.810e+02	+6.068e+00
2	2	+1.871e+02	+4.408e-01
3	3	+1.875e+02	+1.644e+00
2	2	+1.892e+02	+2.171e-03
3	3	+1.892e+02	+4.031e+00
2	2	+1.932e+02	+2.714e+00
1	1	+1.959e+02	+2.930e-01
3	3	+1.962e+02	+3.581e-01
2	2	+1.966e+02	+1.168e+00
3	3	+1.977e+02	+2.243e-01
2	2	+1.980e+02	+7.234e-01
3	3	+1.987e+02	+9.697e-01
1	1	+1.996e+02	+3.533e-01
0	0	+2.000e+02	+Inf
