%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+1.869e+00
2	2	+1.869e+00	+1.996e-02
1	1	+1.889e+00	+2.147e+00
3	3	+4.036e+00	+3.672e+00
2	2	+7.709e+00	+3.127e-01
3	3	+8.022e+00	+2.929e+00
2	2	+1.095e+01	+1.175e+00
3	3	+1.213e+01	+4.949e-01
1	1	+1.262e+01	+2.856e-01
3	3	+1.291e+01	+3.408e+00
2	2	+1.631e+01	+2.270e-01
3	3	+1.654e+01	+2.071e+00
2	2	+1.861e+01	+5.231e-01
3	3	+1.914e+01	+9.389e-01
2	2	+2.007e+01	+3.007e-01
3	3	+2.038e+01	+4.708e+00
2	2	+2.508e+01	+1.365e+00
3	3	+2.645e+01	+2.051e+00
2	2	+2.850e+01	+9.099e-01
1	1	+2.941e+01	+3.643e+00
3	3	+3.305e+01	+2.263e+00
2	2	+3.532e+01	+1.406e-01
1	1	+3.546e+01	+1.613e+00
2	2	+3.707e+01	+3.623e-02
3	3	+3.711e+01	+4.175e+00
2	2	+4.128e+01	+2.441e+00
1	1	+4.372e+01	+3.254e-01
2	2	+4.405e+01	+1.232e+00
3	3	+4.528e+01	+1.084e+00
2	2	+4.636e+01	+5.752e+00
1	1	+5.211e+01	+2.536e+00
2	2	+5.465e+01	+1.926e+00
3	3	+5.658e+01	+9.765e-01
2	2	+5.755e+01	+2.129e+00
3	3	+5.968e+01	+2.643e+00
1	1	+6.232e+01	+5.931e+00
3	3	+6.826e+01	+2.589e+00
1	1	+7.084e+01	+3.005e-01
3	3	+7.115e+01	+4.216e+00
2	2	+7.536e+01	+1.629e+00
3	3	+7.699e+01	+1.382e-01
2	2	+7.713e+01	+5.895e-01
3	3	+7.772e+01	+5.945e-01
2	2	+7.831e+01	+2.254e+00
0	0	+8.057e+01	+Inf
