%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+1.042e+00
2	2	+1.042e+00	+3.483e-01
3	3	+1.391e+00	+9.495e-01
1	1	+2.340e+00	+1.304e+00
2	2	+3.644e+00	+8.428e-03
1	1	+3.653e+00	+2.859e+00
3	3	+6.512e+00	+2.630e-01
2	2	+6.775e+00	+1.297e+00
1	1	+8.072e+00	+4.095e-01
3	3	+8.481e+00	+9.076e-01
2	2	+9.389e+00	+1.769e+00
1	1	+1.116e+01	+3.054e+00
3	3	+1.421e+01	+4.869e+00
2	2	+1.908e+01	+1.888e-01
1	1	+1.927e+01	+1.169e+00
3	3	+2.044e+01	+1.289e+00
2	2	+2.173e+01	+5.858e-01
3	3	+2.231e+01	+3.112e+00
2	2	+2.543e+01	+7.173e-01
0	0	+2.614e+01	+Inf
