%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+4.431e-02
2	2	+4.431e-02	+8.306e-01
1	1	+8.749e-01	+2.467e+00
2	2	+3.342e+00	+1.403e+00
1	1	+4.745e+00	+2.988e+00
3	3	+7.733e+00	+4.579e-02
2	2	+7.779e+00	+6.048e-01
3	3	+8.384e+00	+6.062e+00
1	1	+1.445e+01	+3.294e-02
3	3	+1.448e+01	+1.651e+00
1	1	+1.613e+01	+3.492e+00
2	2	+1.962e+01	+1.556e+00
1	1	+2.118e+01	+6.257e-01
2	2	+2.180e+01	+2.748e-01
3	3	+2.208e+01	+1.791e-01
2	2	+2.226e+01	+3.469e-01
1	1	+2.261e+01	+9.799e-02
3	3	+2.270e+01	+2.014e-01
2	2	+2.290e+01	+3.293e+00
1	1	+2.620e+01	+4.401e+00
3	3	+3.060e+01	+7.247e-01
2	2	+3.132e+01	+3.466e+00
3	3	+3.479e+01	+3.576e+00
2	2	+3.836e+01	+1.024e+00
3	3	+3.939e+01	+6.307e-01
2	2	+4.002e+01	+2.140e-01
3	3	+4.023e+01	+1.273e+00
2	2	+4.151e+01	+2.366e+00
3	3	+4.387e+01	+9.525e-01
2	2	+4.482e+01	+1.054e-01
3	3	+4.493e+01	+5.594e+00
2	2	+5.052e+01	+2.339e+00
3	3	+5.286e+01	+4.759e-01
2	2	+5.334e+01	+3.062e+00
3	3	+5.640e+01	+1.190e+00
2	2	+5.759e+01	+1.501e-01
3	3	+5.774e+01	+1.735e+00
2	2	+5.948e+01	+9.617e-02
3	3	+5.957e+01	+3.741e+00
2	2	+6.331e+01	+1.623e+00
3	3	+6.494e+01	+2.363e+00
2	2	+6.730e+01	+1.816e-02
1	1	+6.732e+01	+9.810e-01
3	3	+6.830e+01	+1.730e+00
2	2	+7.003e+01	+7.666e-01
1	1	+7.080e+01	+3.480e+00
3	3	+7.428e+01	+1.848e-01
2	2	+7.446e+01	+1.960e+00
3	3	+7.642e+01	+4.804e-01
2	2	+7.690e+01	+1.457e+00
3	3	+7.836e+01	+4.607e+00
2	2	+8.296e+01	+1.010e+00
3	3	+8.397e+01	+3.399e+00
1	1	+8.737e+01	+4.338e-01
3	3	+8.781e+01	+4.393e+00
2	2	+9.220e+01	+8.037e+00
1	1	+1.002e+02	+1.459e-01
3	3	+1.004e+02	+1.824e+00
2	2	+1.022e+02	+9.803e-02
1	1	+1.023e+02	+2.490e+00
3	3	+1.048e+02	+1.373e+00
1	1	+1.062e+02	+4.356e-01
3	3	+1.066e+02	+1.541e+00
2	2	+1.081e+02	+1.994e+00
3	3	+1.101e+02	+1.548e+00
2	2	+1.117e+02	+5.404e-01
1	1	+1.122e+02	+2.242e+00
2	2	+1.145e+02	+3.765e-02
3	3	+1.145e+02	+5.564e+00
2	2	+1.201e+02	+3.120e+00
3	3	+1.232e+02	+2.089e+00
1	1	+1.253e+02	+4.605e+00
2	2	+1.299e+02	+2.412e+00
1	1	+1.323e+02	+8.642e-01
3	3	+1.332e+02	+1.684e+00
1	1	+1.348e+02	+1.255e+00
3	3	+1.361e+02	+2.208e-01
2	2	+1.363e+02	+1.313e+00
3	3	+1.376e+02	+2.485e+00
2	2	+1.401e+02	+2.539e+00
3	3	+1.427e+02	+1.811e+00
2	2	+1.445e+02	+1.202e-01
3	3	+1.446e+02	+1.051e+00
2	2	+1.456e+02	+3.186e-01
3	3	+1.460e+02	+1.081e+00
2	2	+1.470e+02	+2.968e-01
3	3	+1.473e+02	+3.663e+00
2	2	+1.510e+02	+2.007e+00
3	3	+1.530e+02	+1.081e+01
2	2	+1.638e+02	+1.017e+00
1	1	+1.648e+02	+1.292e+00
2	2	+1.661e+02	+1.786e+00
3	3	+1.679e+02	+2.244e-01
2	2	+1.681e+02	+2.043e-03
1	1	+1.681e+02	+1.743e+00
3	3	+1.699e+02	+1.437e+00
2	2	+1.713e+02	+1.405e-01
3	3	+1.715e+02	+3.460e+00
2	2	+1.749e+02	+1.085e+00
1	1	+1.760e+02	+3.011e+00
3	3	+1.790e+02	+3.992e-01
2	2	+1.794e+02	+1.322e+00
3	3	+1.807e+02	+2.961e+00
2	2	+1.837e+02	+3.685e-01
1	1	+1.841e+02	+3.602e-01
2	2	+1.844e+02	+8.802e-02
1	1	+1.845e+02	+4.858e+00
2	2	+1.894e+02	+2.023e+00
3	3	+1.914e+02	+1.438e+00
2	2	+1.928e+02	+4.817e-01
3	3	+1.933e+02	+4.541e+00
2	2	+1.979e+02	+1.049e+00
1	1	+1.989e+02	+7.259e-02
2	2	+1.990e+02	+5.425e-01
3	3	+1.995e+02	+4.810e-01
0	0	+2.000e+02	+Inf
