%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+2.785e+00
3	3	+2.785e+00	+1.429e-01
2	2	+2.928e+00	+1.398e+00
3	3	+4.327e+00	+2.071e+00
2	2	+6.398e+00	+1.224e+00
1	1	+7.622e+00	+2.422e-01
3	3	+7.864e+00	+3.617e+00
2	2	+1.148e+01	+2.782e-02
3	3	+1.151e+01	+5.192e-01
2	2	+1.203e+01	+3.419e+00
1	1	+1.545e+01	+3.683e-01
3	3	+1.582e+01	+1.010e+00
2	2	+1.683e+01	+2.034e+00
3	3	+1.886e+01	+2.677e+00
2	2	+2.154e+01	+1.429e+00
3	3	+2.297e+01	+5.397e+00
2	2	+2.836e+01	+1.889e+00
3	3	+3.025e+01	+4.107e-01
2	2	+3.066e+01	+4.462e-01
1	1	+3.111e+01	+6.446e-01
2	2	+3.175e+01	+2.475e-01
3	3	+3.200e+01	+1.664e+00
2	2	+3.366e+01	+3.520e-01
1	1	+3.402e+01	+9.691e-01
2	2	+3.499e+01	+6.369e-01
3	3	+3.562e+01	+1.583e+00
2	2	+3.721e+01	+6.407e+00
1	1	+4.361e+01	+3.211e-01
2	2	+4.393e+01	+7.106e+00
1	1	+5.104e+01	+1.399e+00
3	3	+5.244e+01	+1.382e+00
2	2	+5.382e+01	+3.721e-01
1	1	+5.419e+01	+1.338e+00
2	2	+5.553e+01	+2.311e+00
3	3	+5.784e+01	+8.231e-01
2	2	+5.866e+01	+2.390e+00
3	3	+6.105e+01	+2.487e-01
0	0	+6.130e+01	+Inf
