%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+4.305e+00
2	2	+4.305e+00	+1.153e+00
1	1	+5.458e+00	+4.173e+00
2	2	+9.631e+00	+1.151e+00
3	3	+1.078e+01	+3.661e-01
2	2	+1.115e+01	+4.234e-01
1	1	+1.157e+01	+1.306e+00
3	3	+1.288e+01	+2.012e-01
2	2	+1.308e+01	+9.108e-01
1	1	+1.399e+01	+7.398e-01
3	3	+1.473e+01	+1.750e+00
2	2	+1.648e+01	+1.954e-01
1	1	+1.667e+01	+1.819e+00
3	3	+1.849e+01	+5.824e+00
2	2	+2.432e+01	+2.326e-01
1	1	+2.455e+01	+1.554e+00
2	2	+2.610e+01	+2.037e-01
1	1	+2.631e+01	+8.960e-02
2	2	+2.640e+01	+2.514e-01
3	3	+2.665e+01	+1.761e+00
2	2	+2.841e+01	+2.430e+00
3	3	+3.084e+01	+1.872e+00
2	2	+3.271e+01	+1.558e+00
3	3	+3.427e+01	+6.362e-01
2	2	+3.491e+01	+1.582e+00
1	1	+3.649e+01	+2.774e+00
3	3	+3.926e+01	+4.586e-01
2	2	+3.972e+01	+1.768e-01
3	3	+3.990e+01	+4.250e+00
1	1	+4.415e+01	+1.313e-01
2	2	+4.428e+01	+1.148e+00
3	3	+4.543e+01	+2.458e+00
2	2	+4.789e+01	+3.139e-02
3	3	+4.792e+01	+2.310e-01
1	1	+4.815e+01	+2.113e+00
2	2	+5.026e+01	+4.866e-01
3	3	+5.075e+01	+6.462e-01
2	2	+5.139e+01	+3.740e-01
1	1	+5.177e+01	+7.909e-01
3	3	+5.256e+01	+2.287e+00
2	2	+5.485e+01	+3.405e+00
1	1	+5.825e+01	+8.368e-01
2	2	+5.909e+01	+1.002e+00
3	3	+6.009e+01	+1.648e-01
1	1	+6.025e+01	+8.537e-01
3	3	+6.111e+01	+9.524e-01
2	2	+6.206e+01	+2.520e+00
1	1	+6.458e+01	+5.848e-01
2	2	+6.517e+01	+1.042e+00
1	1	+6.621e+01	+8.685e-01
2	2	+6.708e+01	+2.499e+00
3	3	+6.957e+01	+1.025e-01
2	2	+6.968e+01	+2.274e-01
1	1	+6.990e+01	+1.252e+00
2	2	+7.116e+01	+1.676e+00
3	3	+7.283e+01	+1.122e+00
2	2	+7.396e+01	+5.953e-02
3	3	+7.402e+01	+1.263e+00
2	2	+7.528e+01	+9.173e-02
1	1	+7.537e+01	+2.135e+00
2	2	+7.750e+01	+3.361e+00
3	3	+8.087e+01	+2.606e+00
2	2	+8.347e+01	+6.240e-01
3	3	+8.410e+01	+2.670e-02
1	1	+8.412e+01	+6.670e-02
2	2	+8.419e+01	+2.259e+00
3	3	+8.645e+01	+1.426e+00
2	2	+8.787e+01	+3.876e+00
1	1	+9.175e+01	+5.117e-01
3	3	+9.226e+01	+2.371e+00
2	2	+9.463e+01	+4.560e-01
3	3	+9.509e+01	+2.351e+00
2	2	+9.744e+01	+8.753e-01
3	3	+9.832e+01	+6.317e-01
2	2	+9.895e+01	+1.570e+00
0	0	+1.005e+02	+Inf
