%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+1.966e+03	+1.105e+04	+1.074e+04	+0.849
0.100	-2.342e+02	+8.663e+03	+1.048e+04	+1.028
0.200	+1.160e+03	+8.454e+03	+1.003e+04	+0.879
0.300	+1.154e+03	+9.591e+03	+1.000e+04	+0.893
0.400	+1.807e+03	+7.166e+03	+9.447e+03	+0.799
0.500	+1.337e+03	+8.052e+03	+1.058e+04	+0.858
0.600	+8.228e+01	+9.826e+03	+1.145e+04	+0.992
0.700	-3.961e+02	+7.220e+03	+9.081e+03	+1.058
0.800	+1.630e+03	+7.814e+03	+9.002e+03	+0.827
0.900	+1.596e+03	+1.035e+04	+1.123e+04	+0.866
1.000	+9.563e+02	+7.546e+03	+1.167e+04	+0.888
1.100	+8.452e+01	+6.975e+03	+7.749e+03	+0.988
1.200	+5.792e+02	+8.954e+03	+9.628e+03	+0.939
1.300	+2.468e+02	+8.950e+03	+8.802e+03	+0.973
1.400	+5.237e+03	+5.639e+03	+5.874e+03	+0.518
1.500	+5.352e+03	+4.612e+03	+6.577e+03	+0.463
1.600	+4.498e+03	+4.459e+03	+9.209e+03	+0.498
1.700	+3.729e+03	+4.593e+03	+8.170e+03	+0.552
1.800	+5.170e+03	+3.338e+03	+6.711e+03	+0.392
1.900	+6.084e+03	+5.142e+03	+9.199e+03	+0.458
2.000	+3.726e+03	+5.115e+03	+1.108e+04	+0.579
2.100	+6.527e+03	+5.558e+03	+7.006e+03	+0.460
2.200	+6.931e+03	+3.800e+03	+8.423e+03	+0.354
2.300	+6.572e+03	+5.778e+03	+7.147e+03	+0.468
2.400	+4.259e+03	+4.617e+03	+9.346e+03	+0.520
2.500	+5.475e+03	+5.911e+03	+8.395e+03	+0.519
2.600	+5.562e+03	+6.244e+03	+7.681e+03	+0.529
2.700	+4.586e+03	+4.221e+03	+6.423e+03	+0.479
2.800	+5.783e+03	+5.324e+03	+9.501e+03	+0.479
2.900	+5.931e+03	+4.591e+03	+7.877e+03	+0.436
3.000	+6.127e+03	+5.611e+03	+1.006e+04	+0.478
3.100	+5.807e+03	+6.041e+03	+7.628e+03	+0.510
3.200	+6.256e+03	+4.674e+03	+1.042e+04	+0.428
3.300	+4.833e+03	+4.569e+03	+9.940e+03	+0.486
3.400	+4.782e+03	+3.721e+03	+9.171e+03	+0.438
3.500	+5.706e+03	+4.409e+03	+7.152e+03	+0.436
3.600	+5.082e+03	+4.477e+03	+9.866e+03	+0.468
3.700	+4.813e+03	+5.338e+03	+9.310e+03	+0.526
3.800	+3.742e+03	+5.155e+03	+7.366e+03	+0.579
3.900	+6.890e+03	-3.383e+02	+1.030e+04	-0.052
4.000	+5.778e+03	+1.667e+03	+8.561e+03	+0.224
4.100	+4.539e+03	+1.268e+02	+9.148e+03	+0.027
4.200	+5.457e+03	+5.736e+02	+6.768e+03	+0.095
4.300	+8.952e+03	+2.818e+02	+8.209e+03	+0.031
4.400	+5.647e+03	+1.710e+03	+8.038e+03	+0.232
4.500	+6.653e+03	+1.692e+03	+8.836e+03	+0.203
4.600	+6.843e+03	-4.113e+02	+9.516e+03	-0.064
4.700	+4.933e+03	+1.522e+02	+8.122e+03	+0.030
4.800	+4.853e+03	+1.587e+03	+6.674e+03	+0.246
4.900	+6.275e+03	+5.120e+02	+8.309e+03	+0.075
5.000	+6.687e+03	-1.551e+03	+8.363e+03	-0.302
5.100	+4.827e+03	+7.140e+02	+1.164e+04	+0.129
5.200	+7.880e+03	+1.092e+03	+7.968e+03	+0.122
5.300	+5.422e+03	+3.476e+02	+7.804e+03	+0.060
5.400	+6.249e+03	-4.598e+01	+9.025e+03	-0.007
5.500	+6.448e+03	+5.266e+02	+1.013e+04	+0.076
5.600	+6.973e+03	+1.568e+03	+8.613e+03	+0.184
5.700	+6.700e+03	+9.772e+02	+1.134e+04	+0.127
5.800	+5.480e+03	+1.478e+03	+8.554e+03	+0.212
5.900	+5.234e+03	+1.038e+01	+9.417e+03	+0.002
6.000	+6.483e+03	+6.060e+02	+7.587e+03	+0.085
6.100	+5.323e+03	+2.912e+03	+9.393e+03	+0.354
6.200	+6.060e+03	+4.712e+03	+7.554e+03	+0.437
6.300	+5.669e+03	+5.766e+03	+9.771e+03	+0.504
6.400	+5.101e+03	+5.587e+03	+8.300e+03	+0.523
6.500	+1.727e+03	+7.144e+03	+1.046e+04	+0.805
6.600	+5.257e+02	+9.091e+03	+1.075e+04	+0.945
6.700	+1.030e+03	+8.447e+03	+6.903e+03	+0.891
6.800	+1.333e+03	+9.001e+03	+1.075e+04	+0.871
6.900	+1.329e+02	+7.286e+03	+8.528e+03	+0.982
7.000	+4.533e+02	+1.001e+04	+1.129e+04	+0.957
7.100	+1.850e+02	+9.146e+03	+8.457e+03	+0.980
7.200	+4.617e+02	+8.860e+03	+8.709e+03	+0.950
7.300	+3.868e+02	+9.374e+03	+1.014e+04	+0.960
7.400	+9.140e+02	+7.729e+03	+1.286e+04	+0.894
7.500	+1.791e+03	+6.751e+03	+1.153e+04	+0.790
7.600	+4.996e+03	+1.082e+03	+8.411e+03	+0.178
7.700	+7.654e+03	+2.022e+03	+5.981e+03	+0.209
7.800	+6.207e+03	+6.422e+02	+9.736e+03	+0.094
7.900	+6.871e+03	+5.108e+02	+7.695e+03	+0.069
8.000	+6.591e+03	+6.755e+02	+8.870e+03	+0.093
8.100	+5.793e+03	+6.544e+02	+6.572e+03	+0.101
8.200	+5.317e+03	+7.871e+02	+7.976e+03	+0.129
8.300	+6.045e+03	+5.357e+02	+8.395e+03	+0.081
8.400	+5.389e+03	-2.168e+02	+6.554e+03	-0.042
8.500	+8.665e+03	+1.669e+03	+8.985e+03	+0.162
8.600	+6.969e+03	+3.662e+02	+8.894e+03	+0.050
8.700	+6.074e+03	+1.632e+03	+9.536e+03	+0.212
8.800	+4.771e+03	+2.175e+03	+8.975e+03	+0.313
8.900	+5.706e+03	+1.995e+03	+7.602e+03	+0.259
9.000	+5.236e+03	+1.153e+03	+7.964e+03	+0.180
9.100	+7.391e+03	+6.293e+02	+7.590e+03	+0.078
9.200	+6.669e+03	-1.173e+02	+6.578e+03	-0.018
9.300	+6.934e+03	-5.509e+01	+9.960e+03	-0.008
9.400	+5.525e+03	+1.442e+03	+8.369e+03	+0.207
9.500	-3.254e+02	+9.097e+03	+1.058e+04	+1.037
9.600	+1.419e+03	+7.178e+03	+1.006e+04	+0.835
9.700	+2.892e+03	+1.043e+04	+1.116e+04	+0.783
9.800	+7.782e+02	+1.061e+04	+1.076e+04	+0.932
9.900	-2.755e+02	+8.130e+03	+9.369e+03	+1.035
10.000	+8.201e+02	+8.897e+03	+1.043e+04	+0.916
10.100	-2.531e+02	+9.703e+03	+1.263e+04	+1.027
10.200	-2.572e+02	+9.082e+03	+1.106e+04	+1.029
10.300	+1.255e+03	+1.100e+04	+8.493e+03	+0.898
10.400	+1.506e+03	+8.125e+03	+9.470e+03	+0.844
10.500	+1.323e+03	+7.186e+03	+7.967e+03	+0.845
