%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+6.608e-01
2	2	+6.608e-01	+9.944e-01
1	1	+1.655e+00	+1.367e+00
3	3	+3.022e+00	+9.549e-01
2	2	+3.977e+00	+3.372e+00
3	3	+7.349e+00	+2.343e+00
2	2	+9.691e+00	+4.788e-01
1	1	+1.017e+01	+2.800e-01
3	3	+1.045e+01	+4.618e+00
1	1	+1.507e+01	+5.405e-01
2	2	+1.561e+01	+5.144e+00
1	1	+2.075e+01	+3.451e+00
3	3	+2.420e+01	+9.880e-01
2	2	+2.519e+01	+4.718e+00
3	3	+2.991e+01	+7.514e-01
2	2	+3.066e+01	+6.713e-01
1	1	+3.133e+01	+2.326e+00
3	3	+3.366e+01	+2.245e+00
2	2	+3.590e+01	+2.358e-01
3	3	+3.614e+01	+1.377e+00
2	2	+3.752e+01	+1.097e+00
1	1	+3.861e+01	+3.390e-01
3	3	+3.895e+01	+2.249e-01
2	2	+3.918e+01	+2.788e+00
1	1	+4.197e+01	+3.921e-01
3	3	+4.236e+01	+1.666e+01
2	2	+5.902e+01	+1.635e+00
3	3	+6.065e+01	+2.984e-01
2	2	+6.095e+01	+1.793e-01
3	3	+6.113e+01	+1.351e+00
2	2	+6.248e+01	+2.749e+00
1	1	+6.523e+01	+7.180e-01
3	3	+6.595e+01	+2.298e-01
2	2	+6.618e+01	+2.924e+00
3	3	+6.910e+01	+2.796e+00
1	1	+7.190e+01	+7.227e-01
3	3	+7.262e+01	+1.852e+00
2	2	+7.447e+01	+1.114e+00
3	3	+7.559e+01	+1.091e-01
2	2	+7.570e+01	+3.927e-01
3	3	+7.609e+01	+1.062e+00
2	2	+7.715e+01	+1.173e+00
3	3	+7.832e+01	+1.131e-02
1	1	+7.833e+01	+5.266e-01
3	3	+7.886e+01	+1.150e+00
2	2	+8.001e+01	+2.816e-01
1	1	+8.029e+01	+9.151e-01
2	2	+8.121e+01	+2.192e+00
3	3	+8.340e+01	+5.292e+00
1	1	+8.869e+01	+6.952e-01
2	2	+8.939e+01	+4.532e+00
3	3	+9.392e+01	+2.978e+00
2	2	+9.690e+01	+1.798e+00
1	1	+9.869e+01	+1.634e-02
3	3	+9.871e+01	+3.699e+00
1	1	+1.024e+02	+2.488e-01
3	3	+1.027e+02	+3.980e+00
2	2	+1.066e+02	+1.281e-01
1	1	+1.068e+02	+7.510e-01
2	2	+1.075e+02	+1.117e+00
3	3	+1.086e+02	+1.592e+00
2	2	+1.102e+02	+5.004e+00
3	3	+1.152e+02	+1.629e-01
2	2	+1.154e+02	+7.573e-01
3	3	+1.162e+02	+1.147e+00
2	2	+1.173e+02	+7.014e+00
3	3	+1.243e+02	+4.358e+00
2	2	+1.287e+02	+1.496e+00
3	3	+1.302e+02	+5.559e+00
2	2	+1.357e+02	+2.415e+00
3	3	+1.381e+02	+2.205e+00
2	2	+1.403e+02	+1.883e+00
1	1	+1.422e+02	+3.859e-01
3	3	+1.426e+02	+3.339e+00
2	2	+1.460e+02	+5.905e-02
3	3	+1.460e+02	+2.243e+00
2	2	+1.483e+02	+2.102e-01
1	1	+1.485e+02	+5.091e-01
2	2	+1.490e+02	+1.295e+00
1	1	+1.503e+02	+3.398e-01
2	2	+1.506e+02	+2.729e-01
1	1	+1.509e+02	+7.218e-01
3	3	+1.516e+02	+1.462e+00
2	2	+1.531e+02	+1.312e+00
3	3	+1.544e+02	+1.259e+01
2	2	+1.670e+02	+1.356e+00
3	3	+1.683e+02	+6.704e-01
2	2	+1.690e+02	+9.713e-01
1	1	+1.700e+02	+4.196e-01
3	3	+1.704e+02	+1.313e+00
2	2	+1.717e+02	+7.061e-01
3	3	+1.724e+02	+4.575e+00
2	2	+1.770e+02	+9.985e-01
3	3	+1.780e+02	+2.318e+00
1	1	+1.803e+02	+1.165e+00
3	3	+1.815e+02	+6.543e-01
2	2	+1.821e+02	+3.218e-01
3	3	+1.824e+02	+8.439e-01
2	2	+1.833e+02	+5.379e-01
3	3	+1.838e+02	+5.039e-01
2	2	+1.843e+02	+2.666e-01
1	1	+1.846e+02	+1.044e+00
2	2	+1.856e+02	+2.375e-02
3	3	+1.857e+02	+1.277e+00
2	2	+1.869e+02	+1.128e+00
1	1	+1.881e+02	+4.840e-02
2	2	+1.881e+02	+6.738e-02
3	3	+1.882e+02	+5.835e+00
2	2	+1.940e+02	+1.243e-02
1	1	+1.940e+02	+1.642e+00
2	2	+1.957e+02	+2.592e-01
3	3	+1.959e+02	+4.071e+00
0	0	+2.000e+02	+Inf
