%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+6.857e+00
1	1	+6.857e+00	+2.529e+00
3	3	+9.386e+00	+5.660e-02
2	2	+9.443e+00	+3.381e+00
1	1	+1.282e+01	+2.411e+00
3	3	+1.523e+01	+1.366e+00
1	1	+1.660e+01	+1.830e+00
2	2	+1.843e+01	+1.325e+00
1	1	+1.976e+01	+3.420e-01
3	3	+2.010e+01	+1.919e+00
2	2	+2.202e+01	+2.138e+00
3	3	+2.416e+01	+3.885e-01
2	2	+2.454e+01	+2.851e+00
3	3	+2.739e+01	+1.613e+00
2	2	+2.901e+01	+5.462e-01
3	3	+2.955e+01	+4.610e-01
2	2	+3.002e+01	+1.014e-01
3	3	+3.012e+01	+1.328e+00
2	2	+3.144e+01	+6.840e-01
3	3	+3.213e+01	+1.222e+00
1	1	+3.335e+01	+6.651e+00
3	3	+4.000e+01	+1.529e+00
2	2	+4.153e+01	+1.866e+00
1	1	+4.340e+01	+9.728e-02
3	3	+4.350e+01	+2.113e+00
0	0	+4.561e+01	+Inf
