%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+2.952e+00
1	1	+2.952e+00	+1.616e+00
3	3	+4.568e+00	+1.055e+00
2	2	+5.622e+00	+9.508e-01
3	3	+6.573e+00	+3.330e-01
2	2	+6.906e+00	+2.777e+00
3	3	+9.683e+00	+1.035e+00
2	2	+1.072e+01	+3.765e-01
1	1	+1.109e+01	+8.672e-01
3	3	+1.196e+01	+1.288e+00
2	2	+1.325e+01	+1.936e+00
3	3	+1.519e+01	+2.518e+00
2	2	+1.770e+01	+2.095e-01
3	3	+1.791e+01	+7.571e+00
2	2	+2.548e+01	+8.373e-01
3	3	+2.632e+01	+2.533e+00
2	2	+2.885e+01	+1.550e+00
3	3	+3.040e+01	+5.487e+00
2	2	+3.589e+01	+3.898e+00
3	3	+3.979e+01	+1.621e-02
2	2	+3.981e+01	+5.844e-01
1	1	+4.039e+01	+1.125e+00
2	2	+4.151e+01	+2.902e-02
3	3	+4.154e+01	+2.222e-01
2	2	+4.177e+01	+9.908e-01
3	3	+4.276e+01	+2.476e-01
2	2	+4.300e+01	+1.110e+00
1	1	+4.411e+01	+8.844e-01
3	3	+4.500e+01	+1.095e+00
1	1	+4.609e+01	+3.374e+00
2	2	+4.947e+01	+1.292e+00
3	3	+5.076e+01	+9.302e-01
2	2	+5.169e+01	+2.579e+00
3	3	+5.427e+01	+5.175e+00
2	2	+5.944e+01	+6.290e-01
1	1	+6.007e+01	+1.738e-01
2	2	+6.025e+01	+8.593e-01
1	1	+6.111e+01	+1.800e+00
2	2	+6.291e+01	+1.041e+00
3	3	+6.395e+01	+6.162e+00
2	2	+7.011e+01	+3.870e+00
1	1	+7.398e+01	+2.740e-01
2	2	+7.425e+01	+4.940e+00
3	3	+7.919e+01	+1.743e+00
1	1	+8.094e+01	+1.293e+00
3	3	+8.223e+01	+1.451e+00
1	1	+8.368e+01	+5.860e-01
3	3	+8.426e+01	+2.829e+00
2	2	+8.709e+01	+6.307e-01
3	3	+8.772e+01	+5.641e+00
2	2	+9.337e+01	+3.940e+00
3	3	+9.731e+01	+1.761e+00
2	2	+9.907e+01	+1.018e+00
3	3	+1.001e+02	+3.573e+00
2	2	+1.037e+02	+8.583e-01
1	1	+1.045e+02	+1.191e+00
3	3	+1.057e+02	+1.161e+00
2	2	+1.069e+02	+1.327e+00
1	1	+1.082e+02	+5.874e-01
2	2	+1.088e+02	+4.364e-01
3	3	+1.092e+02	+3.197e-01
2	2	+1.095e+02	+2.173e+00
1	1	+1.117e+02	+5.889e-01
2	2	+1.123e+02	+2.124e+00
3	3	+1.144e+02	+1.982e+00
1	1	+1.164e+02	+1.983e+00
2	2	+1.184e+02	+9.751e-01
3	3	+1.194e+02	+3.449e-01
2	2	+1.197e+02	+8.286e-01
3	3	+1.205e+02	+1.698e+00
2	2	+1.222e+02	+4.613e-01
1	1	+1.227e+02	+1.580e+00
3	3	+1.243e+02	+1.525e+00
2	2	+1.258e+02	+2.583e+00
3	3	+1.284e+02	+7.208e-01
2	2	+1.291e+02	+2.108e+00
1	1	+1.312e+02	+2.034e-01
2	2	+1.314e+02	+6.400e+00
1	1	+1.378e+02	+7.512e+00
3	3	+1.453e+02	+3.626e+00
2	2	+1.490e+02	+3.002e+00
3	3	+1.520e+02	+5.949e-01
2	2	+1.526e+02	+2.062e+00
3	3	+1.546e+02	+4.469e+00
2	2	+1.591e+02	+6.472e-02
1	1	+1.591e+02	+6.394e-01
3	3	+1.598e+02	+4.489e-01
2	2	+1.602e+02	+1.406e+00
3	3	+1.616e+02	+5.800e-01
2	2	+1.622e+02	+1.379e+00
3	3	+1.636e+02	+7.621e-01
2	2	+1.644e+02	+2.323e-01
3	3	+1.646e+02	+3.980e+00
1	1	+1.686e+02	+1.119e+00
3	3	+1.697e+02	+1.573e+00
1	1	+1.713e+02	+5.139e-01
3	3	+1.718e+02	+1.427e+00
2	2	+1.732e+02	+2.575e-01
3	3	+1.735e+02	+3.688e+00
2	2	+1.772e+02	+2.387e+00
1	1	+1.795e+02	+3.923e+00
3	3	+1.835e+02	+1.147e+00
2	2	+1.846e+02	+1.601e-01
3	3	+1.848e+02	+3.913e+00
2	2	+1.887e+02	+1.029e+00
1	1	+1.897e+02	+3.389e+00
2	2	+1.931e+02	+7.292e-01
3	3	+1.938e+02	+6.167e+00
0	0	+2.000e+02	+Inf
