%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+4.054e+01	+7.609e+03	+6.060e+03	+0.995
0.100	+1.123e+02	+5.922e+03	+7.485e+03	+0.981
0.200	+1.265e+03	+6.861e+03	+6.009e+03	+0.844
0.300	+6.262e+02	+7.730e+03	+6.469e+03	+0.925
0.400	+3.892e+02	+6.591e+03	+7.641e+03	+0.944
0.500	+3.917e+02	+4.335e+03	+1.025e+04	+0.917
0.600	-1.117e+02	+5.466e+03	+6.215e+03	+1.021
0.700	+1.247e+03	+6.244e+03	+7.963e+03	+0.834
0.800	-6.269e+02	+5.757e+03	+6.477e+03	+1.122
0.900	+5.969e+02	+5.749e+03	+6.528e+03	+0.906
1.000	-2.971e+02	+6.092e+03	+7.423e+03	+1.051
1.100	+4.733e+02	+6.429e+03	+7.063e+03	+0.931
1.200	+9.725e+02	+3.870e+03	+7.150e+03	+0.799
1.300	+6.324e+02	+6.136e+03	+7.263e+03	+0.907
1.400	+1.091e+03	+7.142e+03	+1.023e+04	+0.867
1.500	+9.797e+02	+6.254e+03	+5.731e+03	+0.865
1.600	+1.850e+03	+6.629e+03	+8.284e+03	+0.782
1.700	+3.034e+02	+6.110e+03	+6.711e+03	+0.953
1.800	+1.704e+03	+5.709e+03	+7.195e+03	+0.770
1.900	+7.605e+03	+1.132e+03	+6.162e+03	+0.130
2.000	+7.452e+03	+4.620e+02	+6.047e+03	+0.058
2.100	+7.343e+03	+3.231e+02	+5.814e+03	+0.042
2.200	+7.503e+03	+1.230e+03	+6.993e+03	+0.141
2.300	+6.819e+03	-3.248e+02	+4.969e+03	-0.050
2.400	+8.312e+03	+2.132e+02	+5.830e+03	+0.025
2.500	+5.709e+03	+4.723e+02	+7.011e+03	+0.076
2.600	+7.246e+03	+8.026e+02	+7.879e+03	+0.100
2.700	+6.605e+03	+7.179e+02	+7.460e+03	+0.098
2.800	+5.903e+03	+8.820e+01	+9.678e+03	+0.015
2.900	+5.938e+03	+5.234e+02	+6.781e+03	+0.081
3.000	+4.467e+03	+1.187e+03	+6.088e+03	+0.210
3.100	+7.796e+03	+1.922e+02	+6.341e+03	+0.024
3.200	+5.716e+03	-3.235e+02	+6.408e+03	-0.060
3.300	+5.649e+03	-4.144e+01	+7.976e+03	-0.007
3.400	+7.728e+03	+1.006e+03	+6.934e+03	+0.115
3.500	+7.878e+03	+5.733e+02	+7.437e+03	+0.068
3.600	+7.089e+03	+8.894e+02	+5.265e+03	+0.111
3.700	+6.561e+03	+8.552e+02	+8.098e+03	+0.115
3.800	+6.220e+03	+8.322e+02	+6.744e+03	+0.118
3.900	+7.665e+03	+7.483e+02	+4.866e+03	+0.089
4.000	+2.688e+03	+3.542e+03	+7.986e+03	+0.569
4.100	+1.132e+03	+5.872e+03	+6.990e+03	+0.838
4.200	+9.719e+02	+7.250e+03	+7.418e+03	+0.882
4.300	+3.837e+02	+5.825e+03	+7.472e+03	+0.938
4.400	+3.793e+02	+5.716e+03	+6.680e+03	+0.938
4.500	+1.648e+03	+5.733e+03	+8.009e+03	+0.777
4.600	+3.715e+02	+6.633e+03	+6.082e+03	+0.947
4.700	-2.692e+02	+6.103e+03	+5.083e+03	+1.046
