%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+9.655e-01
1	1	+9.655e-01	+1.197e+00
2	2	+2.162e+00	+1.791e-01
3	3	+2.341e+00	+1.993e-01
2	2	+2.540e+00	+1.932e+00
3	3	+4.473e+00	+4.307e+00
2	2	+8.779e+00	+6.732e-01
1	1	+9.453e+00	+3.486e-02
3	3	+9.487e+00	+3.143e-02
2	2	+9.519e+00	+2.905e-01
3	3	+9.809e+00	+1.827e-01
2	2	+9.992e+00	+7.761e-01
3	3	+1.077e+01	+2.889e+00
2	2	+1.366e+01	+4.713e-01
1	1	+1.413e+01	+1.251e+00
2	2	+1.538e+01	+1.634e-02
1	1	+1.540e+01	+9.183e-01
3	3	+1.631e+01	+5.195e+00
2	2	+2.151e+01	+2.523e-01
3	3	+2.176e+01	+1.186e+00
2	2	+2.295e+01	+2.418e-01
1	1	+2.319e+01	+4.017e-01
3	3	+2.359e+01	+2.067e+00
2	2	+2.566e+01	+1.603e-01
3	3	+2.582e+01	+1.301e+00
2	2	+2.712e+01	+2.826e+00
3	3	+2.995e+01	+7.635e-01
2	2	+3.071e+01	+9.083e-01
0	0	+3.162e+01	+Inf
