%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+1.103e-01
3	3	+1.103e-01	+3.374e+00
2	2	+3.484e+00	+3.148e+00
3	3	+6.632e+00	+1.399e+00
2	2	+8.031e+00	+2.354e+00
3	3	+1.039e+01	+1.444e+00
2	2	+1.183e+01	+6.438e-01
3	3	+1.247e+01	+2.742e+00
2	2	+1.521e+01	+2.475e-01
3	3	+1.546e+01	+1.515e-02
2	2	+1.548e+01	+8.078e-01
1	1	+1.629e+01	+3.370e-01
3	3	+1.662e+01	+3.827e+00
2	2	+2.045e+01	+1.442e+00
1	1	+2.189e+01	+2.025e-01
3	3	+2.209e+01	+1.944e+00
2	2	+2.404e+01	+1.231e+00
1	1	+2.527e+01	+2.682e+00
2	2	+2.795e+01	+7.088e-01
1	1	+2.866e+01	+1.980e-01
2	2	+2.886e+01	+1.843e+00
1	1	+3.070e+01	+1.386e+00
3	3	+3.209e+01	+9.922e-01
2	2	+3.308e+01	+1.848e+00
3	3	+3.493e+01	+5.265e+00
2	2	+4.019e+01	+1.347e+00
3	3	+4.154e+01	+2.767e+00
2	2	+4.431e+01	+3.988e-01
3	3	+4.470e+01	+5.346e+00
2	2	+5.005e+01	+9.739e-01
3	3	+5.102e+01	+3.389e-01
2	2	+5.136e+01	+4.235e-01
3	3	+5.179e+01	+1.433e+00
2	2	+5.322e+01	+2.339e-01
3	3	+5.345e+01	+5.120e-01
0	0	+5.397e+01	+Inf
