%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+3.440e+03	+1.814e+03	+6.919e+03	+0.345
0.200	+3.939e+03	+1.122e+03	+5.727e+03	+0.222
0.400	+5.084e+03	+1.774e+03	+5.217e+03	+0.259
0.600	+3.960e+03	+2.250e+03	+5.708e+03	+0.362
0.800	+4.267e+03	-2.960e+02	+5.906e+03	-0.075
1.000	+4.641e+03	+1.591e+03	+5.764e+03	+0.255
1.200	+4.615e+03	+1.748e+03	+4.152e+03	+0.275
1.400	+4.040e+03	+1.633e+03	+4.596e+03	+0.288
1.600	+3.283e+03	+1.841e+03	+5.745e+03	+0.359
1.800	+3.147e+03	+6.534e+02	+6.391e+03	+0.172
2.000	+4.373e+03	+2.062e+03	+4.786e+03	+0.320
2.200	+2.173e+03	+4.010e+03	+4.271e+03	+0.649
2.400	+9.105e+02	+5.200e+03	+7.605e+03	+0.851
2.600	+2.007e+03	+3.502e+03	+6.381e+03	+0.636
2.800	+1.423e+03	+5.569e+03	+4.124e+03	+0.796
3.000	+1.009e+03	+2.329e+03	+6.937e+03	+0.698
3.200	+1.315e+03	+5.099e+03	+4.834e+03	+0.795
3.400	+3.068e+03	+1.341e+03	+3.609e+03	+0.304
3.600	+2.476e+03	+3.461e+03	+4.037e+03	+0.583
3.800	+1.945e+03	+1.877e+03	+4.442e+03	+0.491
4.000	+2.172e+03	+3.621e+03	+4.205e+03	+0.625
4.200	+9.309e+02	+4.403e+03	+2.957e+03	+0.825
4.400	+2.828e+03	+5.841e+03	+4.504e+03	+0.674
4.600	+7.651e+02	+4.958e+03	+6.066e+03	+0.866
4.800	+7.936e+02	+4.482e+03	+5.062e+03	+0.850
5.000	+1.938e+03	+5.554e+03	+3.677e+03	+0.741
5.200	+3.140e+03	+3.766e+03	+4.576e+03	+0.545
5.400	+2.410e+03	+2.491e+03	+4.941e+03	+0.508
5.600	+3.361e+03	+6.001e+02	+4.127e+03	+0.152
5.800	+2.899e+03	+1.118e+03	+3.978e+03	+0.278
6.000	+4.641e+03	+1.228e+03	+5.102e+03	+0.209
