%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+4.683e+00
2	1	+4.683e+00	+1.313e+00
3	2	+5.996e+00	+4.607e+00
2	1	+1.060e+01	+1.390e+00
3	2	+1.199e+01	+1.410e+00
2	1	+1.340e+01	+4.341e+00
3	2	+1.774e+01	+8.104e-01
2	1	+1.856e+01	+4.783e-01
3	2	+1.903e+01	+3.593e+00
2	1	+2.263e+01	+1.232e+00
1	1	+2.386e+01	+4.186e+01
2	1	+6.572e+01	+2.563e+00
1	1	+6.828e+01	+6.246e+00
2	1	+7.453e+01	+3.171e+00
3	2	+7.770e+01	+2.029e-01
2	1	+7.790e+01	+1.695e+00
3	2	+7.959e+01	+2.085e+00
2	1	+8.168e+01	+1.284e+00
3	2	+8.296e+01	+1.355e+00
2	1	+8.432e+01	+2.414e+00
1	1	+8.673e+01	+4.837e+01
0	0	+1.351e+02	+Inf
