%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+6.120e+03	+4.984e+02	+6.292e+03	+0.075
0.200	+4.949e+03	+4.218e+02	+5.528e+03	+0.079
0.400	+4.456e+03	+1.359e+03	+5.133e+03	+0.234
0.600	+5.222e+03	+6.014e+02	+6.086e+03	+0.103
0.800	+4.459e+03	-4.764e+02	+5.965e+03	-0.120
1.000	+4.478e+03	+9.592e+02	+6.078e+03	+0.176
1.200	+2.984e+03	-2.542e+02	+3.640e+03	-0.093
1.400	+3.463e+03	+1.301e+03	+3.627e+03	+0.273
1.600	+5.264e+03	+8.790e+02	+2.712e+03	+0.143
1.800	+4.397e+03	+1.017e+02	+5.409e+03	+0.023
2.000	+4.473e+03	+1.081e+03	+5.339e+03	+0.195
2.200	+3.012e+03	+3.225e+02	+5.267e+03	+0.097
2.400	+6.235e+03	+7.779e+02	+6.811e+03	+0.111
2.600	+4.688e+03	+1.131e+03	+6.689e+03	+0.194
2.800	+5.662e+03	+7.430e+02	+9.064e+03	+0.116
3.000	+4.835e+03	+7.647e+02	+7.587e+03	+0.137
3.200	+4.528e+03	+1.413e+03	+6.723e+03	+0.238
3.400	+4.792e+03	+1.643e+03	+5.542e+03	+0.255
3.600	+5.513e+03	+1.189e+03	+5.358e+03	+0.177
3.800	+4.031e+03	+6.756e+02	+5.912e+03	+0.144
4.000	+6.536e+03	+1.199e+03	+7.768e+03	+0.155
4.200	+5.354e+03	+9.938e+02	+5.714e+03	+0.157
4.400	+4.207e+03	+1.850e+03	+4.419e+03	+0.305
4.600	+3.938e+03	+1.041e+03	+4.409e+03	+0.209
4.800	+5.885e+03	+1.735e+03	+5.968e+03	+0.228
5.000	+4.788e+03	+1.142e+03	+6.234e+03	+0.193
5.200	+3.800e+03	+1.598e+03	+5.230e+03	+0.296
5.400	+3.907e+03	+1.235e+03	+6.446e+03	+0.240
5.600	+5.314e+03	+4.089e+02	+5.506e+03	+0.071
5.800	+5.499e+03	+1.192e+03	+7.520e+03	+0.178
6.000	+4.279e+03	+1.214e+03	+5.617e+03	+0.221
6.200	+2.641e+03	+9.839e+02	+4.554e+03	+0.271
6.400	+4.836e+03	+1.531e+03	+6.858e+03	+0.240
6.600	+3.923e+03	+1.505e+03	+4.040e+03	+0.277
6.800	+3.269e+03	+1.637e+03	+5.586e+03	+0.334
7.000	+3.110e+03	+1.569e+03	+6.653e+03	+0.335
7.200	+3.783e+03	+8.726e+02	+4.528e+03	+0.187
7.400	+5.892e+03	+1.104e+03	+6.377e+03	+0.158
7.600	+5.856e+03	+1.060e+03	+2.792e+03	+0.153
7.800	+6.188e+03	+5.711e+02	+4.128e+03	+0.084
8.000	+4.373e+03	+7.984e+02	+5.616e+03	+0.154
8.200	+6.088e+03	-3.742e+02	+6.412e+03	-0.065
8.400	+3.542e+03	+1.012e+03	+5.521e+03	+0.222
8.600	+4.276e+03	+3.781e+02	+4.237e+03	+0.081
8.800	+4.145e+03	-1.074e+02	+2.427e+03	-0.027
9.000	+4.279e+03	+1.668e+03	+4.363e+03	+0.280
9.200	+6.891e+03	+7.220e+02	+5.872e+03	+0.095
9.400	+4.363e+03	+1.348e+03	+6.165e+03	+0.236
9.600	+4.689e+03	+6.353e+02	+5.608e+03	+0.119
9.800	+4.611e+03	+4.283e+02	+4.435e+03	+0.085
10.000	+2.111e+03	+4.621e+02	+4.050e+03	+0.180
10.200	+4.454e+03	+4.845e+02	+5.401e+03	+0.098
10.400	+3.309e+03	+7.691e+02	+4.137e+03	+0.189
10.600	+3.560e+03	+5.370e+01	+5.169e+03	+0.015
10.800	+3.368e+03	+1.481e+03	+5.008e+03	+0.305
11.000	+4.272e+03	+2.068e+03	+5.482e+03	+0.326
11.200	+2.382e+03	+1.690e+03	+3.230e+03	+0.415
11.400	+3.859e+03	-2.501e+02	+6.113e+03	-0.069
11.600	+4.583e+03	-9.376e+02	+4.916e+03	-0.257
11.800	+4.852e+03	+1.157e+03	+4.666e+03	+0.193
