%state	deg. state	t_start (s)	t_dwell (s)
2	1	+0.000e+00	+2.252e+00
3	2	+2.252e+00	+2.335e-02
2	1	+2.275e+00	+1.343e+00
3	2	+3.618e+00	+8.609e-02
2	1	+3.704e+00	+2.220e+00
3	2	+5.924e+00	+1.351e+00
2	1	+7.275e+00	+6.045e-01
1	1	+7.880e+00	+2.841e+01
4	2	+3.629e+01	+9.057e-01
3	2	+3.719e+01	+7.861e-01
2	1	+3.798e+01	+4.877e-01
3	2	+3.847e+01	+7.285e-01
2	1	+3.920e+01	+7.985e-01
3	2	+3.999e+01	+4.877e+00
2	1	+4.487e+01	+3.635e+00
3	2	+4.851e+01	+1.179e+00
2	1	+4.969e+01	+1.093e+00
3	2	+5.078e+01	+1.134e+00
4	2	+5.191e+01	+1.253e+01
3	2	+6.444e+01	+2.222e-01
2	1	+6.466e+01	+9.837e-01
3	2	+6.565e+01	+1.812e+00
2	1	+6.746e+01	+3.084e+00
3	2	+7.054e+01	+7.312e-01
2	1	+7.127e+01	+7.148e+00
1	1	+7.842e+01	+2.588e+01
0	0	+1.043e+02	+Inf
