%state	deg. state	t_start (s)	t_dwell (s)
4	2	+0.000e+00	+9.556e+00
3	2	+9.556e+00	+3.704e-01
2	1	+9.926e+00	+1.795e-01
3	2	+1.011e+01	+5.639e-02
2	1	+1.016e+01	+9.253e-01
3	2	+1.109e+01	+1.037e+00
4	2	+1.212e+01	+5.769e+00
3	2	+1.789e+01	+7.015e-01
2	1	+1.859e+01	+6.880e-01
3	2	+1.928e+01	+4.041e-01
2	1	+1.969e+01	+9.211e-01
3	2	+2.061e+01	+5.282e-01
2	1	+2.114e+01	+7.730e+00
3	2	+2.887e+01	+7.644e-01
2	1	+2.963e+01	+1.752e+00
3	2	+3.138e+01	+1.767e+00
2	1	+3.315e+01	+9.526e-01
3	2	+3.410e+01	+1.146e-01
4	2	+3.422e+01	+2.293e-01
1	1	+3.445e+01	+2.001e+01
0	0	+5.446e+01	+Inf
