%state	deg. state	t_start (s)	t_dwell (s)
4	2	+0.000e+00	+1.922e+01
3	2	+1.922e+01	+1.343e+00
2	1	+2.056e+01	+1.007e+00
1	1	+2.157e+01	+1.003e+00
2	1	+2.257e+01	+3.382e-01
3	2	+2.291e+01	+3.366e-01
2	1	+2.324e+01	+1.749e+00
3	2	+2.499e+01	+7.349e+00
2	1	+3.234e+01	+6.856e-01
3	2	+3.303e+01	+2.788e+00
2	1	+3.582e+01	+1.461e+00
1	1	+3.728e+01	+1.781e+01
2	1	+5.509e+01	+2.538e+00
3	2	+5.763e+01	+1.094e+00
2	1	+5.872e+01	+3.391e+00
3	2	+6.211e+01	+4.389e-01
2	1	+6.255e+01	+1.870e+00
1	1	+6.442e+01	+4.071e+01
0	0	+1.051e+02	+Inf
