%state	deg. state	t_start (s)	t_dwell (s)
4	2	+0.000e+00	+1.052e+01
3	2	+1.052e+01	+7.143e-01
2	1	+1.124e+01	+8.639e-01
3	2	+1.210e+01	+2.420e-01
4	2	+1.234e+01	+3.708e+00
1	1	+1.605e+01	+1.627e+01
4	2	+3.232e+01	+1.490e+01
3	2	+4.722e+01	+4.077e+00
2	1	+5.129e+01	+2.272e+00
1	1	+5.357e+01	+1.694e+01
2	1	+7.050e+01	+2.453e+00
3	2	+7.295e+01	+2.383e-01
2	1	+7.319e+01	+7.832e-01
3	2	+7.398e+01	+2.233e-01
2	1	+7.420e+01	+8.878e-01
3	2	+7.509e+01	+1.292e+00
2	1	+7.638e+01	+7.006e-01
3	2	+7.708e+01	+1.009e-02
2	1	+7.709e+01	+7.446e+00
3	2	+8.454e+01	+2.039e-02
2	1	+8.456e+01	+3.196e+00
3	2	+8.775e+01	+1.069e+00
2	1	+8.882e+01	+7.546e+00
3	2	+9.637e+01	+1.601e+00
2	1	+9.797e+01	+3.026e-01
1	1	+9.827e+01	+1.819e+01
2	1	+1.165e+02	+7.294e-02
3	2	+1.165e+02	+3.261e-02
2	1	+1.166e+02	+8.711e-01
3	2	+1.174e+02	+1.784e+00
2	1	+1.192e+02	+2.961e-01
1	1	+1.195e+02	+3.330e+01
0	0	+1.528e+02	+Inf
