%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+3.202e+03	+3.853e+03	+5.998e+03	+0.546
0.200	+1.099e+03	+5.108e+03	+7.620e+03	+0.823
0.400	+7.264e+02	+3.422e+03	+6.159e+03	+0.825
0.600	+1.461e+03	+4.000e+03	+7.226e+03	+0.732
0.800	+2.209e+03	+6.352e+03	+9.782e+03	+0.742
1.000	+2.340e+03	+4.081e+03	+7.247e+03	+0.636
1.200	+7.445e+03	+1.232e+03	+8.839e+03	+0.142
1.400	+4.607e+03	-6.195e+02	+7.388e+03	-0.155
1.600	+5.060e+03	+1.029e+03	+3.469e+03	+0.169
1.800	+5.071e+03	+9.596e+02	+6.029e+03	+0.159
2.000	+4.566e+03	+1.986e+03	+7.856e+03	+0.303
2.200	+5.132e+03	+7.271e+02	+8.833e+03	+0.124
2.400	+6.089e+03	-1.660e+02	+8.127e+03	-0.028
2.600	+7.493e+03	+1.170e+02	+5.183e+03	+0.015
2.800	+7.167e+03	+6.701e+02	+6.967e+03	+0.086
3.000	+4.665e+03	+1.203e+03	+5.154e+03	+0.205
3.200	+7.356e+03	-1.362e+02	+4.923e+03	-0.019
3.400	+5.046e+03	+1.065e+03	+5.287e+03	+0.174
3.600	+6.491e+03	+6.753e+02	+6.879e+03	+0.094
3.800	+4.909e+03	+4.259e+02	+8.321e+03	+0.080
4.000	+4.830e+03	+1.143e+03	+7.237e+03	+0.191
4.200	+7.152e+03	+3.201e+01	+8.339e+03	+0.004
4.400	+3.758e+03	+1.061e+03	+7.218e+03	+0.220
4.600	+4.338e+03	+3.824e+02	+7.635e+03	+0.081
4.800	+6.929e+03	+1.917e+03	+5.952e+03	+0.217
5.000	+4.432e+03	+1.820e+03	+7.337e+03	+0.291
5.200	+4.679e+03	+1.831e+03	+8.670e+03	+0.281
5.400	+3.395e+03	+2.763e+03	+3.574e+03	+0.449
5.600	+5.485e+03	-4.054e+02	+6.193e+03	-0.080
5.800	+3.824e+03	+2.018e+03	+5.342e+03	+0.345
6.000	+2.045e+03	+5.988e+03	+6.237e+03	+0.745
6.200	+2.466e+03	+4.852e+03	+6.865e+03	+0.663
6.400	+1.949e+03	+4.649e+03	+6.451e+03	+0.705
6.600	+1.208e+03	+5.062e+03	+7.097e+03	+0.807
6.800	+1.292e+03	+3.796e+03	+8.028e+03	+0.746
7.000	+1.682e+03	+4.601e+03	+6.378e+03	+0.732
