%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+4.132e+03	+2.575e+02	+6.002e+03	+0.059
0.200	+3.556e+03	+2.143e+03	+6.143e+03	+0.376
0.400	+5.782e+03	+1.148e+03	+5.920e+03	+0.166
0.600	+2.761e+03	+1.573e+03	+5.291e+03	+0.363
0.800	+4.631e+03	+1.196e+03	+5.831e+03	+0.205
1.000	+3.143e+03	+6.055e+02	+5.502e+03	+0.162
1.200	+5.071e+03	+1.242e+03	+6.205e+03	+0.197
1.400	+3.503e+03	+1.737e+03	+3.365e+03	+0.331
1.600	+3.647e+03	+6.444e+02	+6.370e+03	+0.150
1.800	+2.598e+03	+1.267e+03	+5.700e+03	+0.328
2.000	+4.375e+03	+2.396e+02	+5.861e+03	+0.052
2.200	+4.241e+03	+1.304e+03	+2.382e+03	+0.235
2.400	+3.755e+03	+8.102e+02	+6.497e+03	+0.177
2.600	+3.433e+03	-5.254e+02	+5.466e+03	-0.181
2.800	+6.198e+03	+6.983e+01	+4.629e+03	+0.011
3.000	+4.893e+03	+9.430e+02	+4.906e+03	+0.162
3.200	+5.373e+03	+3.834e+02	+6.001e+03	+0.067
3.400	+3.623e+03	+1.754e+03	+5.238e+03	+0.326
3.600	+5.028e+03	+1.124e+03	+6.789e+03	+0.183
3.800	+5.444e+03	+9.213e+02	+4.352e+03	+0.145
4.000	+3.123e+03	+1.427e+03	+7.067e+03	+0.314
4.200	+4.453e+03	+1.419e+03	+3.718e+03	+0.242
4.400	+3.687e+03	+6.828e+02	+5.377e+03	+0.156
4.600	+4.458e+03	+1.482e+03	+4.726e+03	+0.249
4.800	+5.079e+03	+9.587e+02	+4.108e+03	+0.159
5.000	+4.300e+03	+1.186e+02	+7.131e+03	+0.027
5.200	+3.927e+03	+1.767e+03	+6.098e+03	+0.310
5.400	+3.199e+03	+9.480e+02	+4.762e+03	+0.229
5.600	+4.805e+03	+1.047e+03	+6.655e+03	+0.179
5.800	+2.582e+03	+6.526e+02	+5.858e+03	+0.202
6.000	+4.063e+03	-1.040e+02	+3.045e+03	-0.026
6.200	+3.385e+03	+3.236e+02	+5.394e+03	+0.087
6.400	+4.584e+03	+4.645e+02	+6.298e+03	+0.092
6.600	+5.970e+03	+1.804e+03	+5.186e+03	+0.232
6.800	+4.424e+03	+4.033e+02	+7.088e+03	+0.084
7.000	+4.394e+03	+2.024e+03	+5.868e+03	+0.315
7.200	+4.551e+03	+1.261e+03	+4.783e+03	+0.217
7.400	+5.822e+03	+3.881e+02	+5.870e+03	+0.062
7.600	+4.850e+03	+8.600e+02	+6.260e+03	+0.151
7.800	+5.790e+03	-1.931e+02	+6.976e+03	-0.035
8.000	+4.609e+03	+5.808e+02	+7.116e+03	+0.112
8.200	+3.173e+03	+1.653e+03	+6.270e+03	+0.342
8.400	+4.262e+03	+1.278e+03	+5.676e+03	+0.231
8.600	+3.416e+03	+1.256e+03	+6.586e+03	+0.269
8.800	+4.812e+03	+2.236e+03	+5.186e+03	+0.317
9.000	+2.918e+03	+8.191e+02	+7.022e+03	+0.219
9.200	+3.678e+03	+9.524e+02	+5.492e+03	+0.206
9.400	+3.405e+03	+9.948e+02	+4.528e+03	+0.226
9.600	+3.243e+03	-2.145e+01	+4.422e+03	-0.007
9.800	+3.479e+03	+3.870e+02	+4.769e+03	+0.100
10.000	+3.232e+03	-5.149e+02	+5.681e+03	-0.189
10.200	+4.046e+03	+1.068e+03	+3.955e+03	+0.209
10.400	+3.630e+03	+1.060e+03	+6.841e+03	+0.226
10.600	+3.080e+03	+1.112e+03	+4.483e+03	+0.265
10.800	+4.642e+03	+1.115e+03	+4.944e+03	+0.194
11.000	+2.840e+03	+7.230e+02	+4.438e+03	+0.203
11.200	+4.131e+03	+9.515e+02	+5.771e+03	+0.187
11.400	+3.987e+03	+2.948e+02	+3.326e+03	+0.069
11.600	+4.527e+03	+8.755e+02	+8.711e+03	+0.162
11.800	+3.669e+03	+7.817e+02	+6.179e+03	+0.176
12.000	+2.591e+03	+1.256e+03	+7.916e+03	+0.327
12.200	+4.593e+03	+1.371e+03	+4.029e+03	+0.230
12.400	+2.512e+03	+1.461e+03	+6.556e+03	+0.368
12.600	+4.694e+03	+1.009e+03	+6.993e+03	+0.177
12.800	+5.026e+03	+1.674e+03	+4.746e+03	+0.250
13.000	+4.331e+03	+8.399e+02	+5.215e+03	+0.162
13.200	+5.037e+03	+9.170e+02	+3.867e+03	+0.154
13.400	+3.000e+03	+8.004e+02	+5.428e+03	+0.211
13.600	+3.082e+03	+2.143e+03	+5.586e+03	+0.410
13.800	+3.604e+03	+6.143e+02	+4.486e+03	+0.146
14.000	+4.044e+03	+2.513e+02	+5.330e+03	+0.059
14.200	+4.584e+03	+1.445e+03	+5.223e+03	+0.240
14.400	+7.085e+03	+5.865e+02	+4.435e+03	+0.076
14.600	+3.287e+03	+4.933e+02	+6.244e+03	+0.131
14.800	+1.714e+03	+1.259e+03	+4.871e+03	+0.423
