%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+7.341e+03	+2.343e+02	+6.295e+03	+0.031
0.200	+4.688e+03	+1.152e+03	+5.675e+03	+0.197
0.400	+3.821e+03	+1.304e+03	+4.717e+03	+0.254
0.600	+3.885e+03	+1.820e+03	+4.682e+03	+0.319
0.800	+4.104e+03	+7.237e+02	+6.791e+03	+0.150
1.000	+4.153e+03	+2.896e+02	+6.441e+03	+0.065
1.200	+5.475e+03	+1.831e+03	+5.760e+03	+0.251
1.400	+2.440e+03	+1.002e+02	+5.496e+03	+0.039
1.600	+5.119e+03	+5.756e+02	+3.794e+03	+0.101
1.800	+4.716e+03	+1.054e+03	+7.319e+03	+0.183
2.000	+4.114e+03	+1.286e+02	+5.190e+03	+0.030
2.200	+5.515e+03	+6.867e+02	+5.364e+03	+0.111
2.400	+3.537e+03	+9.252e+02	+4.190e+03	+0.207
2.600	+5.878e+03	-1.435e+02	+7.307e+03	-0.025
2.800	+6.336e+03	+1.615e+03	+4.683e+03	+0.203
3.000	+4.407e+03	+6.286e+02	+8.097e+03	+0.125
3.200	+2.975e+03	+5.344e+02	+6.773e+03	+0.152
3.400	+7.132e+03	+1.374e+03	+4.385e+03	+0.162
3.600	+5.499e+03	+1.148e+03	+3.120e+03	+0.173
3.800	+3.885e+03	+7.564e+01	+7.768e+03	+0.019
4.000	+5.395e+03	+5.786e+02	+5.011e+03	+0.097
4.200	+6.259e+03	+3.788e+02	+7.553e+03	+0.057
4.400	+3.775e+03	+9.441e+01	+4.974e+03	+0.024
4.600	+6.503e+03	-1.169e+02	+6.624e+03	-0.018
4.800	+4.254e+03	+6.624e+02	+6.105e+03	+0.135
5.000	+3.811e+03	+1.764e+03	+4.925e+03	+0.316
5.200	+3.513e+03	+6.645e+02	+6.220e+03	+0.159
5.400	+4.814e+03	+1.173e+03	+2.325e+03	+0.196
5.600	+2.857e+03	+7.468e+02	+6.379e+03	+0.207
