%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+6.272e+03	+1.260e+03	+8.266e+03	+0.167
0.200	+6.688e+03	+3.087e+03	+7.688e+03	+0.316
0.400	+5.836e+03	+1.333e+03	+6.250e+03	+0.186
0.600	+4.228e+03	+2.108e+03	+7.271e+03	+0.333
0.800	+5.946e+03	+1.502e+03	+7.195e+03	+0.202
1.000	+6.946e+03	+1.573e+03	+6.611e+03	+0.185
1.200	+5.409e+03	+1.114e+03	+7.692e+03	+0.171
1.400	+4.686e+03	+1.712e+03	+6.538e+03	+0.268
1.600	+5.370e+03	+2.590e+03	+8.033e+03	+0.325
1.800	+7.335e+03	+2.159e+03	+5.993e+03	+0.227
2.000	+4.599e+03	+4.489e+03	+5.996e+03	+0.494
2.200	+2.547e+03	+5.637e+03	+6.627e+03	+0.689
2.400	+2.321e+03	+5.878e+03	+7.055e+03	+0.717
2.600	+1.125e+03	+4.614e+03	+6.813e+03	+0.804
2.800	+7.546e+02	+5.646e+03	+6.569e+03	+0.882
3.000	+2.279e+03	+3.934e+03	+6.514e+03	+0.633
3.200	+2.151e+03	+5.840e+03	+7.499e+03	+0.731
3.400	+2.134e+03	+5.790e+03	+8.003e+03	+0.731
3.600	+7.265e+02	+5.163e+03	+7.362e+03	+0.877
3.800	+2.284e+03	+5.112e+03	+7.615e+03	+0.691
4.000	+4.225e+03	+2.773e+03	+7.418e+03	+0.396
4.200	+5.145e+03	+1.182e+03	+4.791e+03	+0.187
4.400	+5.696e+03	+1.222e+03	+6.370e+03	+0.177
4.600	+5.303e+03	+2.736e+03	+5.468e+03	+0.340
4.800	+5.918e+03	+1.971e+03	+8.907e+03	+0.250
5.000	+4.569e+03	+1.537e+03	+7.756e+03	+0.252
5.200	+4.992e+03	+2.323e+03	+6.345e+03	+0.318
5.400	+6.003e+03	+1.781e+03	+6.228e+03	+0.229
5.600	+5.538e+03	+1.178e+03	+8.128e+03	+0.175
5.800	+5.405e+03	+1.668e+03	+5.255e+03	+0.236
6.000	+6.499e+03	+9.048e+02	+8.679e+03	+0.122
6.200	+4.595e+03	+1.313e+03	+6.207e+03	+0.222
6.400	+4.628e+03	+2.782e+03	+8.456e+03	+0.375
6.600	+6.017e+03	+1.585e+03	+7.850e+03	+0.209
6.800	+5.116e+03	+2.178e+03	+7.163e+03	+0.299
7.000	+5.688e+03	+1.690e+03	+6.436e+03	+0.229
7.200	+2.003e+03	+4.471e+03	+7.137e+03	+0.691
7.400	+1.431e+03	+5.923e+03	+7.959e+03	+0.805
7.600	+3.156e+03	+6.833e+03	+6.020e+03	+0.684
7.800	+4.911e+03	+3.749e+03	+7.103e+03	+0.433
8.000	+5.807e+03	+1.016e+03	+5.888e+03	+0.149
8.200	+3.790e+03	+2.027e+03	+7.000e+03	+0.348
