%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	-4.633e+02	+7.017e+03	+7.945e+03	+1.071
0.100	+5.670e+02	+7.074e+03	+9.148e+03	+0.926
0.200	+9.060e+02	+6.416e+03	+4.930e+03	+0.876
0.300	+7.649e+02	+6.093e+03	+6.456e+03	+0.888
0.400	+9.908e+02	+8.036e+03	+7.483e+03	+0.890
0.500	+8.846e+02	+7.143e+03	+7.260e+03	+0.890
0.600	-7.793e+02	+7.092e+03	+5.863e+03	+1.123
0.700	-7.933e+02	+8.893e+03	+5.958e+03	+1.098
0.800	+6.955e+02	+7.788e+03	+1.002e+04	+0.918
0.900	+1.062e+03	+7.769e+03	+7.323e+03	+0.880
1.000	+5.051e+02	+7.649e+03	+7.885e+03	+0.938
1.100	+1.779e+03	+8.634e+03	+8.441e+03	+0.829
1.200	-8.406e+01	+7.071e+03	+6.376e+03	+1.012
1.300	+4.156e+01	+6.653e+03	+7.100e+03	+0.994
1.400	+2.118e+02	+7.626e+03	+7.248e+03	+0.973
1.500	+5.782e+02	+7.667e+03	+8.244e+03	+0.930
1.600	+2.428e+02	+5.810e+03	+8.419e+03	+0.960
1.700	+5.726e+02	+8.228e+03	+9.361e+03	+0.935
1.800	+2.350e+02	+6.963e+03	+7.253e+03	+0.967
1.900	+5.224e+02	+9.559e+03	+7.377e+03	+0.948
2.000	+4.730e+02	+7.914e+03	+6.463e+03	+0.944
2.100	+5.611e+02	+6.065e+03	+6.794e+03	+0.915
2.200	+5.905e+02	+6.704e+03	+5.198e+03	+0.919
2.300	+1.227e+03	+7.716e+03	+8.809e+03	+0.863
2.400	+2.523e+02	+6.061e+03	+7.562e+03	+0.960
2.500	+7.152e+02	+7.453e+03	+7.171e+03	+0.912
2.600	+4.383e+02	+7.160e+03	+6.889e+03	+0.942
2.700	+1.051e+03	+5.700e+03	+8.263e+03	+0.844
2.800	+1.486e+02	+7.354e+03	+7.892e+03	+0.980
2.900	+1.165e+03	+7.849e+03	+6.920e+03	+0.871
3.000	+3.722e+02	+6.103e+03	+6.097e+03	+0.943
3.100	-3.301e+02	+6.308e+03	+5.022e+03	+1.055
3.200	+4.866e+02	+5.854e+03	+5.546e+03	+0.923
3.300	+8.625e+02	+7.419e+03	+7.402e+03	+0.896
3.400	-1.502e+02	+7.420e+03	+8.163e+03	+1.021
3.500	+3.168e+02	+7.736e+03	+6.965e+03	+0.961
3.600	+2.492e+03	+6.596e+03	+6.132e+03	+0.726
3.700	-3.862e+01	+7.652e+03	+6.252e+03	+1.005
3.800	+8.809e+02	+7.529e+03	+7.830e+03	+0.895
3.900	+2.557e+02	+7.543e+03	+6.980e+03	+0.967
4.000	+1.093e+03	+6.029e+03	+6.436e+03	+0.847
4.100	+1.730e+02	+7.598e+03	+8.494e+03	+0.978
4.200	+7.441e+02	+6.644e+03	+6.956e+03	+0.899
4.300	+1.448e+03	+7.435e+03	+8.352e+03	+0.837
4.400	+1.091e+02	+6.980e+03	+7.636e+03	+0.985
4.500	+8.138e+02	+6.518e+03	+7.356e+03	+0.889
4.600	+9.569e+02	+7.246e+03	+7.000e+03	+0.883
4.700	+1.582e+02	+7.893e+03	+8.508e+03	+0.980
4.800	+7.770e+02	+6.032e+03	+8.659e+03	+0.886
4.900	-1.099e+02	+8.431e+03	+6.007e+03	+1.013
5.000	+4.333e+02	+7.816e+03	+5.916e+03	+0.947
5.100	+1.615e+03	+7.239e+03	+7.555e+03	+0.818
5.200	-5.437e+02	+5.443e+03	+6.174e+03	+1.111
5.300	-8.285e+02	+6.803e+03	+7.062e+03	+1.139
5.400	+1.063e+03	+6.188e+03	+8.159e+03	+0.853
5.500	+2.137e+02	+5.578e+03	+5.564e+03	+0.963
5.600	-4.401e+01	+5.830e+03	+7.051e+03	+1.008
5.700	-8.295e+02	+6.367e+03	+6.148e+03	+1.150
5.800	+1.380e+03	+5.757e+03	+6.511e+03	+0.807
5.900	+2.257e+02	+6.211e+03	+7.896e+03	+0.965
6.000	+4.675e+01	+7.968e+03	+6.473e+03	+0.994
6.100	+1.853e+03	+7.052e+03	+5.795e+03	+0.792
6.200	+8.405e+02	+7.065e+03	+8.157e+03	+0.894
6.300	+1.835e+03	+6.860e+03	+7.755e+03	+0.789
6.400	-1.850e+02	+6.164e+03	+8.090e+03	+1.031
6.500	+1.883e+03	+5.313e+03	+5.356e+03	+0.738
6.600	-2.757e+02	+6.063e+03	+6.671e+03	+1.048
6.700	+1.860e+03	+6.953e+03	+6.507e+03	+0.789
6.800	+1.217e+03	+7.047e+03	+6.847e+03	+0.853
6.900	+4.594e+00	+8.544e+03	+7.423e+03	+0.999
7.000	+6.600e+02	+7.150e+03	+7.920e+03	+0.915
7.100	+7.831e+02	+7.369e+03	+7.583e+03	+0.904
7.200	+2.203e+02	+7.673e+03	+8.250e+03	+0.972
7.300	+9.754e+02	+7.981e+03	+7.008e+03	+0.891
7.400	-1.110e+03	+7.111e+03	+6.224e+03	+1.185
7.500	+9.147e+00	+6.439e+03	+6.742e+03	+0.999
7.600	+1.648e+03	+5.213e+03	+8.085e+03	+0.760
7.700	+5.031e+03	+7.814e+01	+8.186e+03	+0.015
7.800	+6.428e+03	+2.863e+03	+7.663e+03	+0.308
7.900	+6.206e+03	+1.347e+03	+7.097e+03	+0.178
8.000	+8.198e+03	+3.013e+02	+8.844e+03	+0.035
8.100	+6.917e+03	+8.139e+02	+7.776e+03	+0.105
8.200	+6.532e+03	+1.299e+03	+6.247e+03	+0.166
8.300	+7.310e+03	+5.467e+02	+1.020e+04	+0.070
8.400	+6.759e+03	+4.152e+02	+6.365e+03	+0.058
8.500	+8.333e+03	+5.311e+02	+6.932e+03	+0.060
8.600	+6.912e+03	+2.121e+03	+7.455e+03	+0.235
8.700	+7.635e+03	+1.744e+03	+7.133e+03	+0.186
8.800	+8.130e+03	+8.356e+02	+6.470e+03	+0.093
8.900	+6.704e+03	+1.028e+03	+5.778e+03	+0.133
9.000	+6.172e+03	+1.770e+02	+7.859e+03	+0.028
9.100	+4.367e+03	+3.128e+03	+8.427e+03	+0.417
9.200	+3.707e+03	+3.502e+03	+7.241e+03	+0.486
9.300	+4.071e+03	+8.937e+02	+6.647e+03	+0.180
9.400	+3.459e+03	+2.966e+03	+8.783e+03	+0.462
9.500	+3.695e+03	+3.606e+03	+6.981e+03	+0.494
9.600	+3.391e+03	+5.039e+03	+9.004e+03	+0.598
9.700	+9.862e+02	+6.560e+03	+8.352e+03	+0.869
9.800	-2.976e+02	+6.725e+03	+7.618e+03	+1.046
9.900	+1.338e+03	+6.478e+03	+7.010e+03	+0.829
10.000	+9.965e+01	+8.538e+03	+7.128e+03	+0.988
10.100	+1.620e+03	+7.274e+03	+6.388e+03	+0.818
10.200	-2.130e+02	+9.340e+03	+7.645e+03	+1.023
10.300	+1.891e+03	+5.101e+03	+8.138e+03	+0.730
10.400	+5.218e+02	+5.817e+03	+5.614e+03	+0.918
10.500	+9.876e+02	+7.557e+03	+8.735e+03	+0.884
10.600	+4.944e+02	+6.859e+03	+7.952e+03	+0.933
10.700	-2.967e+01	+7.665e+03	+7.938e+03	+1.004
10.800	+2.735e+03	+6.192e+03	+8.078e+03	+0.694
10.900	+5.033e+03	+5.015e+03	+7.692e+03	+0.499
11.000	+3.979e+03	+3.556e+03	+6.008e+03	+0.472
11.100	+3.670e+03	+2.942e+03	+7.176e+03	+0.445
11.200	+3.137e+03	+3.143e+03	+5.771e+03	+0.500
11.300	+2.723e+03	+3.923e+03	+6.735e+03	+0.590
11.400	+3.380e+03	+4.886e+03	+7.175e+03	+0.591
11.500	+2.907e+03	+3.896e+03	+9.532e+03	+0.573
11.600	+4.378e+03	+5.703e+03	+4.378e+03	+0.566
11.700	+3.864e+03	+5.300e+03	+6.410e+03	+0.578
11.800	+4.423e+03	+4.649e+03	+6.544e+03	+0.512
11.900	+3.130e+03	+2.909e+03	+5.558e+03	+0.482
12.000	+3.998e+03	+4.261e+03	+5.774e+03	+0.516
12.100	+3.399e+03	+5.619e+03	+6.455e+03	+0.623
12.200	+4.880e+03	+5.170e+03	+7.722e+03	+0.514
12.300	+1.644e+03	+3.701e+03	+5.777e+03	+0.692
12.400	+2.504e+03	+4.569e+03	+7.093e+03	+0.646
12.500	+2.660e+02	+5.648e+03	+8.333e+03	+0.955
12.600	+8.804e+01	+6.112e+03	+5.721e+03	+0.986
12.700	+1.106e+03	+7.126e+03	+6.460e+03	+0.866
12.800	+3.289e+03	+4.715e+03	+7.484e+03	+0.589
12.900	+7.224e+03	+1.999e+03	+9.067e+03	+0.217
13.000	+4.838e+03	+1.472e+03	+9.047e+03	+0.233
13.100	+6.076e+03	+1.104e+03	+7.583e+03	+0.154
13.200	+6.883e+03	+1.692e+03	+6.230e+03	+0.197
13.300	+7.227e+03	+1.682e+03	+7.712e+03	+0.189
13.400	+7.219e+03	+9.660e+01	+8.420e+03	+0.013
13.500	+8.549e+03	+1.511e+03	+8.065e+03	+0.150
13.600	+7.281e+03	-9.080e+01	+7.339e+03	-0.013
13.700	+2.930e+03	+4.318e+03	+8.751e+03	+0.596
13.800	+1.692e+03	+7.485e+03	+6.746e+03	+0.816
13.900	+1.124e+03	+5.499e+03	+7.087e+03	+0.830
14.000	+9.356e+02	+6.322e+03	+6.408e+03	+0.871
14.100	+1.160e+03	+5.472e+03	+7.093e+03	+0.825
14.200	+4.249e+03	+2.847e+03	+7.560e+03	+0.401
14.300	+4.153e+03	+4.036e+03	+7.065e+03	+0.493
14.400	+3.643e+03	+3.495e+03	+5.423e+03	+0.490
14.500	+4.481e+03	+4.318e+03	+6.738e+03	+0.491
14.600	+3.688e+03	+4.033e+03	+7.498e+03	+0.522
14.700	+3.683e+03	+3.747e+03	+7.688e+03	+0.504
14.800	+3.272e+03	+4.237e+03	+5.264e+03	+0.564
14.900	+4.341e+03	+4.498e+03	+7.562e+03	+0.509
15.000	+4.186e+03	+3.995e+03	+6.945e+03	+0.488
15.100	+5.309e+03	+3.746e+03	+6.012e+03	+0.414
15.200	+3.456e+03	+2.593e+03	+7.995e+03	+0.429
15.300	+3.618e+03	+3.562e+03	+8.360e+03	+0.496
15.400	+3.992e+03	+2.571e+03	+6.706e+03	+0.392
15.500	+3.601e+03	+3.851e+03	+5.694e+03	+0.517
15.600	+2.827e+03	+4.027e+03	+7.865e+03	+0.588
15.700	+3.042e+03	+4.248e+03	+7.062e+03	+0.583
15.800	+5.419e+03	+4.323e+03	+5.807e+03	+0.444
15.900	+3.988e+03	+3.098e+03	+6.902e+03	+0.437
16.000	+2.794e+03	+4.650e+03	+6.070e+03	+0.625
16.100	+4.707e+03	+3.928e+03	+7.451e+03	+0.455
16.200	+5.124e+03	+3.642e+03	+7.157e+03	+0.415
16.300	+3.338e+03	+3.282e+03	+7.214e+03	+0.496
16.400	+3.215e+03	+4.845e+03	+8.914e+03	+0.601
16.500	+3.723e+03	+2.879e+03	+7.397e+03	+0.436
16.600	+3.576e+03	+3.792e+03	+8.935e+03	+0.515
16.700	+3.748e+03	+4.124e+03	+6.782e+03	+0.524
16.800	+2.997e+03	+4.254e+03	+6.703e+03	+0.587
16.900	+3.573e+03	+4.052e+03	+6.461e+03	+0.531
17.000	+4.013e+03	+3.465e+03	+6.794e+03	+0.463
17.100	+4.332e+03	+3.903e+03	+6.193e+03	+0.474
17.200	+5.301e+03	+4.415e+03	+8.868e+03	+0.454
17.300	+4.438e+03	+4.620e+03	+9.125e+03	+0.510
17.400	+4.257e+03	+3.389e+03	+5.633e+03	+0.443
17.500	+4.201e+03	+3.625e+03	+7.813e+03	+0.463
17.600	+2.995e+03	+5.077e+03	+7.092e+03	+0.629
17.700	+3.551e+03	+5.219e+03	+7.595e+03	+0.595
17.800	+3.823e+03	+4.906e+03	+8.540e+03	+0.562
17.900	+3.613e+03	+4.191e+03	+7.203e+03	+0.537
18.000	+3.645e+03	+3.571e+03	+8.293e+03	+0.495
18.100	+3.945e+03	+4.813e+03	+4.894e+03	+0.550
18.200	+3.719e+03	+2.814e+03	+7.584e+03	+0.431
18.300	+2.978e+03	+4.377e+03	+6.563e+03	+0.595
18.400	+5.140e+03	+4.667e+03	+5.888e+03	+0.476
18.500	+2.677e+03	+4.813e+03	+8.055e+03	+0.643
18.600	+3.764e+03	+4.215e+03	+8.121e+03	+0.528
18.700	+3.250e+03	+4.455e+03	+7.096e+03	+0.578
18.800	+3.820e+03	+4.793e+03	+7.648e+03	+0.556
18.900	+2.513e+03	+2.717e+03	+6.598e+03	+0.519
19.000	+3.458e+03	+2.854e+03	+9.001e+03	+0.452
19.100	+3.490e+03	+5.061e+03	+7.549e+03	+0.592
19.200	+3.735e+03	+4.756e+03	+9.366e+03	+0.560
19.300	+3.930e+03	+3.817e+03	+6.868e+03	+0.493
19.400	+4.242e+03	+3.372e+03	+8.511e+03	+0.443
19.500	+2.564e+03	+5.029e+03	+7.251e+03	+0.662
19.600	+4.599e+03	+3.805e+03	+8.620e+03	+0.453
19.700	+4.642e+03	+4.195e+03	+5.144e+03	+0.475
19.800	+3.126e+03	+4.189e+03	+6.429e+03	+0.573
19.900	+2.601e+03	+3.856e+03	+6.623e+03	+0.597
20.000	+2.337e+03	+4.157e+03	+7.443e+03	+0.640
20.100	+4.360e+03	+3.476e+03	+7.716e+03	+0.444
20.200	+3.045e+03	+3.510e+03	+6.864e+03	+0.535
20.300	+2.944e+03	+4.990e+03	+7.586e+03	+0.629
20.400	+2.583e+03	+4.159e+03	+7.572e+03	+0.617
20.500	+2.405e+03	+4.328e+03	+6.107e+03	+0.643
20.600	+3.605e+03	+4.773e+03	+7.547e+03	+0.570
20.700	+3.200e+03	+4.194e+03	+7.636e+03	+0.567
20.800	+2.388e+03	+4.049e+03	+9.693e+03	+0.629
20.900	+3.487e+03	+4.190e+03	+7.619e+03	+0.546
21.000	+5.212e+03	+5.016e+03	+8.245e+03	+0.490
21.100	+2.971e+03	+3.680e+03	+7.777e+03	+0.553
21.200	+3.163e+03	+2.822e+03	+6.387e+03	+0.471
21.300	+3.772e+03	+4.047e+03	+6.451e+03	+0.518
21.400	+2.450e+03	+5.246e+03	+7.778e+03	+0.682
21.500	+4.059e+03	+4.760e+03	+8.438e+03	+0.540
21.600	+3.040e+03	+3.800e+03	+8.343e+03	+0.556
21.700	+3.945e+03	+4.005e+03	+6.304e+03	+0.504
21.800	+4.299e+03	+6.330e+03	+8.738e+03	+0.596
21.900	+4.288e+03	+3.889e+03	+7.450e+03	+0.476
22.000	+4.486e+03	+5.218e+03	+6.076e+03	+0.538
22.100	+4.896e+03	+4.060e+03	+7.369e+03	+0.453
22.200	+4.019e+03	+3.965e+03	+7.867e+03	+0.497
