%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+6.515e+03	+1.147e+03	+6.346e+03	+0.150
0.100	+5.610e+03	-4.181e+01	+6.070e+03	-0.008
0.200	+5.623e+03	+1.559e+03	+7.306e+03	+0.217
0.300	+7.951e+03	+1.893e+03	+7.133e+03	+0.192
0.400	+6.746e+03	+1.646e+02	+6.227e+03	+0.024
0.500	+6.760e+03	+2.658e+02	+7.241e+03	+0.038
0.600	+6.970e+03	+1.065e+03	+6.259e+03	+0.133
0.700	+5.708e+03	+4.045e+02	+7.518e+03	+0.066
0.800	+6.663e+03	-2.669e+02	+5.995e+03	-0.042
0.900	+6.547e+03	+6.007e+02	+8.216e+03	+0.084
1.000	+6.535e+03	+6.168e+02	+6.762e+03	+0.086
1.100	+7.437e+03	+1.317e+03	+7.684e+03	+0.150
1.200	+6.195e+03	+9.840e+02	+7.822e+03	+0.137
1.300	+7.374e+03	+5.780e+02	+6.285e+03	+0.073
1.400	+8.354e+03	+4.387e+02	+6.009e+03	+0.050
1.500	+6.456e+03	+5.435e+02	+7.061e+03	+0.078
1.600	+5.913e+03	+1.983e+02	+6.987e+03	+0.032
1.700	+6.482e+03	+5.353e+02	+6.595e+03	+0.076
1.800	+7.555e+03	-1.051e+02	+6.877e+03	-0.014
1.900	+6.509e+03	+7.154e+02	+7.847e+03	+0.099
2.000	+6.771e+03	+6.566e+02	+7.499e+03	+0.088
2.100	+6.955e+03	+2.430e+02	+6.458e+03	+0.034
2.200	+6.427e+03	+1.005e+03	+7.016e+03	+0.135
2.300	+1.238e+02	+6.534e+03	+5.904e+03	+0.981
2.400	+3.639e+02	+5.218e+03	+8.421e+03	+0.935
2.500	+1.468e+03	+5.018e+03	+8.332e+03	+0.774
2.600	+1.131e+03	+6.074e+03	+6.114e+03	+0.843
2.700	+5.312e+02	+6.802e+03	+8.336e+03	+0.928
2.800	+1.462e+02	+6.021e+03	+7.119e+03	+0.976
2.900	-4.340e+02	+5.613e+03	+6.089e+03	+1.084
3.000	+5.506e+02	+5.087e+03	+6.749e+03	+0.902
3.100	+1.196e+03	+5.398e+03	+6.405e+03	+0.819
3.200	+6.626e+02	+7.071e+03	+5.890e+03	+0.914
3.300	+1.421e+03	+6.426e+03	+6.692e+03	+0.819
3.400	+2.937e+02	+5.475e+03	+6.240e+03	+0.949
3.500	+1.010e+03	+5.994e+03	+7.119e+03	+0.856
3.600	-1.930e+02	+6.382e+03	+6.084e+03	+1.031
3.700	+3.271e+01	+5.345e+03	+4.294e+03	+0.994
3.800	+2.368e+03	+6.740e+03	+6.922e+03	+0.740
3.900	+6.597e+02	+6.254e+03	+8.248e+03	+0.905
4.000	+7.844e+02	+5.941e+03	+6.610e+03	+0.883
4.100	+5.902e+02	+5.091e+03	+6.974e+03	+0.896
4.200	-4.172e+02	+6.560e+03	+8.206e+03	+1.068
4.300	+7.469e+02	+5.696e+03	+7.970e+03	+0.884
4.400	+6.390e+02	+5.373e+03	+8.439e+03	+0.894
4.500	+1.700e+03	+5.877e+03	+5.444e+03	+0.776
4.600	+8.257e+02	+6.652e+03	+6.271e+03	+0.890
4.700	+6.932e+02	+7.177e+03	+7.316e+03	+0.912
4.800	-2.497e+01	+6.501e+03	+5.726e+03	+1.004
