%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+7.011e+03	+9.803e+02	+5.536e+03	+0.123
0.100	+8.548e+03	-9.190e+02	+6.642e+03	-0.120
0.200	+6.867e+03	-6.071e+02	+4.546e+03	-0.097
0.300	+7.875e+03	+1.091e+03	+6.522e+03	+0.122
0.400	+6.064e+03	+3.560e+02	+6.246e+03	+0.055
0.500	+7.892e+03	+2.475e+01	+5.931e+03	+0.003
0.600	+8.145e+03	+1.993e+03	+5.630e+03	+0.197
0.700	+5.972e+03	+4.179e+02	+6.450e+03	+0.065
0.800	+5.954e+03	+1.131e+02	+5.691e+03	+0.019
0.900	+6.000e+03	+6.455e+02	+7.592e+03	+0.097
1.000	+7.660e+03	-5.343e+00	+7.589e+03	-0.001
1.100	+8.437e+03	+1.450e+03	+7.348e+03	+0.147
1.200	+7.007e+03	+6.154e+02	+8.943e+03	+0.081
1.300	+6.722e+03	+1.160e+03	+5.431e+03	+0.147
1.400	+6.351e+03	+1.311e+01	+4.625e+03	+0.002
1.500	+6.848e+03	+1.344e+03	+7.990e+03	+0.164
1.600	+8.663e+03	+3.067e+02	+6.946e+03	+0.034
1.700	+6.129e+03	+9.339e+02	+5.116e+03	+0.132
1.800	+5.518e+03	-2.041e+02	+7.626e+03	-0.038
1.900	+7.300e+03	+1.115e+03	+6.306e+03	+0.133
2.000	+7.475e+03	+4.118e+02	+7.787e+03	+0.052
2.100	+8.778e+03	+3.813e+02	+6.791e+03	+0.042
2.200	+7.377e+03	-2.210e+00	+6.918e+03	-0.000
2.300	+8.085e+03	+4.546e+02	+7.990e+03	+0.053
2.400	+6.786e+03	+7.971e+02	+7.074e+03	+0.105
2.500	+7.577e+03	+5.684e+02	+5.090e+03	+0.070
2.600	+6.146e+03	+6.954e+02	+8.376e+03	+0.102
2.700	+6.919e+03	+4.069e+02	+5.862e+03	+0.056
2.800	+5.926e+03	+8.239e+02	+7.529e+03	+0.122
2.900	+7.696e+03	+1.074e+03	+8.452e+03	+0.122
3.000	+8.279e+03	+1.311e+03	+5.426e+03	+0.137
3.100	+7.056e+03	+6.136e+02	+8.470e+03	+0.080
3.200	+6.607e+03	+1.089e+03	+7.582e+03	+0.141
3.300	+7.760e+03	+2.598e+02	+6.509e+03	+0.032
3.400	+5.419e+03	+2.403e+03	+6.700e+03	+0.307
3.500	-1.881e+02	+5.806e+03	+6.864e+03	+1.033
3.600	+3.042e+03	+3.979e+03	+6.768e+03	+0.567
3.700	+6.619e+03	+3.694e+02	+6.037e+03	+0.053
3.800	+9.514e+03	+7.545e+02	+7.597e+03	+0.073
3.900	+6.910e+03	+2.262e+03	+6.614e+03	+0.247
4.000	+6.812e+03	+1.136e+03	+6.506e+03	+0.143
4.100	+7.252e+03	+8.492e+01	+6.491e+03	+0.012
4.200	+5.840e+03	+4.199e+02	+6.752e+03	+0.067
4.300	+6.492e+03	+1.143e+03	+5.623e+03	+0.150
4.400	+6.761e+03	+3.969e+02	+7.724e+03	+0.055
