%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+3.226e+03	+5.085e+03	+8.798e+03	+0.612
0.100	+4.138e+03	+4.477e+03	+5.797e+03	+0.520
0.200	+4.971e+03	+2.975e+03	+1.002e+04	+0.374
0.300	+3.560e+03	+5.227e+03	+1.060e+04	+0.595
0.400	+3.252e+03	+5.413e+03	+7.301e+03	+0.625
0.500	+4.425e+03	+5.476e+03	+6.517e+03	+0.553
0.600	+4.331e+03	+3.992e+03	+7.849e+03	+0.480
0.700	+4.335e+03	+4.292e+03	+7.962e+03	+0.498
0.800	+3.429e+03	+5.238e+03	+9.651e+03	+0.604
0.900	+4.599e+03	+4.590e+03	+7.567e+03	+0.499
1.000	+3.617e+03	+4.928e+03	+1.012e+04	+0.577
1.100	+4.771e+03	+4.659e+03	+9.260e+03	+0.494
1.200	+4.628e+03	+5.150e+03	+7.698e+03	+0.527
1.300	+3.366e+03	+4.549e+03	+6.567e+03	+0.575
1.400	+5.142e+03	+5.669e+03	+6.340e+03	+0.524
1.500	+4.202e+03	+4.496e+03	+8.836e+03	+0.517
1.600	+2.826e+03	+4.305e+03	+5.951e+03	+0.604
1.700	+4.732e+03	+5.247e+03	+8.727e+03	+0.526
1.800	+4.743e+03	+4.446e+03	+9.397e+03	+0.484
1.900	+4.580e+03	+4.072e+03	+7.745e+03	+0.471
2.000	+4.111e+03	+4.183e+03	+6.760e+03	+0.504
2.100	+4.741e+03	+5.333e+03	+7.574e+03	+0.529
2.200	+3.817e+03	+3.316e+03	+7.374e+03	+0.465
2.300	+5.170e+03	+2.809e+03	+8.665e+03	+0.352
2.400	+4.896e+03	+4.682e+03	+9.262e+03	+0.489
2.500	+3.067e+03	+5.825e+03	+8.264e+03	+0.655
2.600	+4.249e+03	+4.460e+03	+1.079e+04	+0.512
2.700	+5.745e+03	+5.582e+03	+7.279e+03	+0.493
2.800	+4.709e+03	+4.007e+03	+8.000e+03	+0.460
2.900	+3.203e+03	+4.039e+03	+8.417e+03	+0.558
3.000	+4.453e+03	+2.359e+03	+7.267e+03	+0.346
3.100	+5.587e+03	+5.563e+03	+8.615e+03	+0.499
3.200	+4.005e+03	+4.047e+03	+8.115e+03	+0.503
3.300	+4.071e+03	+2.999e+03	+8.042e+03	+0.424
3.400	+4.591e+03	+4.068e+03	+1.072e+04	+0.470
3.500	+2.022e+03	+7.240e+03	+6.477e+03	+0.782
3.600	+1.899e+03	+6.799e+03	+7.596e+03	+0.782
3.700	+1.018e+03	+9.275e+03	+9.237e+03	+0.901
3.800	+7.513e+02	+7.538e+03	+9.634e+03	+0.909
3.900	+1.271e+03	+9.098e+03	+7.286e+03	+0.877
4.000	+2.001e+03	+7.714e+03	+9.961e+03	+0.794
4.100	+2.550e+03	+9.139e+03	+6.556e+03	+0.782
4.200	-7.455e+01	+8.457e+03	+8.115e+03	+1.009
4.300	+1.588e+03	+8.291e+03	+8.508e+03	+0.839
4.400	-1.363e+03	+6.032e+03	+8.059e+03	+1.292
4.500	+1.829e+03	+8.376e+03	+7.585e+03	+0.821
4.600	+7.609e+02	+8.435e+03	+8.257e+03	+0.917
4.700	-6.071e+01	+8.747e+03	+8.141e+03	+1.007
4.800	+1.337e+03	+7.610e+03	+8.398e+03	+0.851
4.900	+1.106e+03	+6.887e+03	+8.162e+03	+0.862
5.000	+1.674e+03	+7.473e+03	+7.133e+03	+0.817
5.100	+1.836e+03	+6.533e+03	+7.805e+03	+0.781
5.200	+5.387e+03	+3.481e+03	+9.013e+03	+0.393
5.300	+1.627e+03	+6.864e+03	+8.439e+03	+0.808
5.400	-2.587e+02	+8.185e+03	+9.336e+03	+1.033
