%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+8.229e+00
2	2	+8.229e+00	+1.454e-01
1	1	+8.375e+00	+4.533e+00
2	2	+1.291e+01	+5.767e+00
1	1	+1.867e+01	+6.213e-01
2	2	+1.930e+01	+9.340e+00
1	1	+2.864e+01	+6.557e+00
2	2	+3.519e+01	+1.031e+01
1	1	+4.550e+01	+5.794e+00
2	2	+5.130e+01	+1.493e+00
1	1	+5.279e+01	+2.383e+00
2	2	+5.517e+01	+1.126e+01
1	1	+6.643e+01	+1.250e-01
2	2	+6.656e+01	+5.675e+00
1	1	+7.223e+01	+5.733e+00
2	2	+7.796e+01	+2.111e+00
1	1	+8.007e+01	+1.065e+01
2	2	+9.072e+01	+2.259e+00
1	1	+9.298e+01	+2.216e+00
2	2	+9.520e+01	+3.121e+00
1	1	+9.832e+01	+6.579e-01
2	2	+9.898e+01	+3.460e+00
1	1	+1.024e+02	+1.597e+00
2	2	+1.040e+02	+9.195e-01
1	1	+1.050e+02	+3.681e+00
2	2	+1.086e+02	+1.377e+00
1	1	+1.100e+02	+2.231e+00
2	2	+1.122e+02	+9.338e+00
1	1	+1.216e+02	+2.524e-01
2	2	+1.218e+02	+1.110e+01
1	1	+1.329e+02	+4.313e+00
2	2	+1.372e+02	+1.014e+00
1	1	+1.383e+02	+1.390e+00
2	2	+1.396e+02	+6.865e+00
0	0	+1.465e+02	+Inf
