%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+2.871e+00
2	2	+2.871e+00	+2.003e-01
1	1	+3.072e+00	+5.449e+00
2	2	+8.521e+00	+1.800e+01
1	1	+2.652e+01	+1.324e+00
2	2	+2.784e+01	+3.133e-01
1	1	+2.815e+01	+1.272e+01
2	2	+4.088e+01	+1.188e+01
1	1	+5.275e+01	+8.222e+00
2	2	+6.097e+01	+6.748e-01
1	1	+6.165e+01	+8.357e+00
2	2	+7.001e+01	+3.965e+00
1	1	+7.397e+01	+7.216e-01
2	2	+7.469e+01	+4.885e+00
1	1	+7.958e+01	+8.270e+00
2	2	+8.785e+01	+3.161e+00
1	1	+9.101e+01	+1.169e+00
2	2	+9.218e+01	+2.087e+00
1	1	+9.426e+01	+4.636e-02
2	2	+9.431e+01	+1.660e+01
1	1	+1.109e+02	+2.324e+00
2	2	+1.132e+02	+1.902e+01
1	1	+1.323e+02	+3.940e-01
2	2	+1.327e+02	+2.526e+00
1	1	+1.352e+02	+5.249e+00
2	2	+1.404e+02	+3.190e+00
1	1	+1.436e+02	+3.022e+00
2	2	+1.466e+02	+2.730e+01
1	1	+1.739e+02	+4.445e-01
2	2	+1.744e+02	+8.511e+00
1	1	+1.829e+02	+4.742e+00
2	2	+1.876e+02	+4.708e+00
1	1	+1.923e+02	+9.993e+00
2	2	+2.023e+02	+5.391e-01
1	1	+2.029e+02	+6.080e-01
2	2	+2.035e+02	+3.535e-01
1	1	+2.038e+02	+8.303e-01
2	2	+2.047e+02	+4.771e+00
1	1	+2.094e+02	+2.291e-01
2	2	+2.097e+02	+1.831e+00
1	1	+2.115e+02	+6.883e+00
2	2	+2.184e+02	+7.273e-01
1	1	+2.191e+02	+1.841e+00
2	2	+2.210e+02	+1.729e+01
1	1	+2.382e+02	+4.129e+00
2	2	+2.424e+02	+1.888e+00
1	1	+2.443e+02	+2.079e-01
2	2	+2.445e+02	+1.029e+01
1	1	+2.548e+02	+2.718e+00
2	2	+2.575e+02	+6.381e+00
1	1	+2.639e+02	+3.011e+00
2	2	+2.669e+02	+1.019e+01
1	1	+2.771e+02	+7.860e-01
2	2	+2.778e+02	+5.487e+00
1	1	+2.833e+02	+2.863e+00
2	2	+2.862e+02	+9.133e+00
1	1	+2.953e+02	+2.584e-01
2	2	+2.956e+02	+5.563e+00
1	1	+3.011e+02	+1.042e+01
2	2	+3.116e+02	+2.951e-01
1	1	+3.119e+02	+2.134e+00
2	2	+3.140e+02	+1.328e+00
1	1	+3.153e+02	+5.356e+00
2	2	+3.207e+02	+9.158e-01
1	1	+3.216e+02	+5.477e+00
2	2	+3.271e+02	+1.941e+00
1	1	+3.290e+02	+1.027e+00
2	2	+3.300e+02	+6.846e-01
1	1	+3.307e+02	+3.277e+00
2	2	+3.340e+02	+1.552e+00
1	1	+3.355e+02	+1.046e+00
2	2	+3.366e+02	+6.841e+00
1	1	+3.434e+02	+1.901e+01
2	2	+3.624e+02	+1.738e+00
1	1	+3.642e+02	+1.499e+00
2	2	+3.657e+02	+1.250e-01
1	1	+3.658e+02	+2.836e+00
2	2	+3.686e+02	+4.252e+00
1	1	+3.729e+02	+2.594e-01
2	2	+3.732e+02	+4.029e-01
1	1	+3.736e+02	+4.914e+00
2	2	+3.785e+02	+1.096e+01
1	1	+3.894e+02	+3.327e+00
2	2	+3.928e+02	+7.244e+00
0	0	+4.000e+02	+Inf
