%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	-4.343e+02	+4.823e+03	+8.451e+03	+1.099
0.200	+5.296e+02	+6.832e+03	+7.445e+03	+0.928
0.400	+2.674e+03	+5.989e+03	+8.758e+03	+0.691
0.600	+1.896e+03	+6.515e+03	+5.479e+03	+0.775
0.800	+9.709e+02	+5.826e+03	+6.922e+03	+0.857
1.000	+3.743e+03	+4.651e+03	+8.466e+03	+0.554
1.200	+6.042e+03	+1.944e+03	+7.825e+03	+0.243
1.400	+4.714e+03	+1.445e+03	+6.010e+03	+0.235
1.600	+5.244e+03	+3.084e+03	+8.453e+03	+0.370
1.800	+2.054e+03	+4.859e+03	+8.407e+03	+0.703
2.000	+1.983e+03	+5.773e+03	+7.341e+03	+0.744
2.200	+2.342e+03	+5.619e+03	+9.492e+03	+0.706
2.400	+4.910e+03	+2.840e+03	+8.355e+03	+0.366
2.600	+5.967e+03	+1.338e+03	+6.484e+03	+0.183
2.800	+6.447e+03	+1.651e+03	+8.792e+03	+0.204
3.000	+5.831e+03	+1.587e+03	+7.381e+03	+0.214
3.200	+6.541e+03	+1.219e+03	+9.662e+03	+0.157
3.400	+5.274e+03	+1.512e+03	+7.264e+03	+0.223
3.600	+4.970e+03	+1.925e+03	+9.177e+03	+0.279
3.800	+4.740e+03	+9.733e+01	+9.931e+03	+0.020
4.000	+6.505e+03	+2.564e+03	+8.239e+03	+0.283
4.200	+7.282e+03	+1.502e+03	+5.974e+03	+0.171
4.400	+3.412e+03	+4.207e+03	+7.211e+03	+0.552
4.600	+2.464e+03	+5.358e+03	+8.624e+03	+0.685
4.800	+1.846e+03	+5.350e+03	+6.165e+03	+0.743
5.000	+1.641e+03	+6.075e+03	+7.844e+03	+0.787
5.200	+2.841e+03	+5.216e+03	+7.808e+03	+0.647
5.400	+1.324e+03	+6.439e+03	+6.782e+03	+0.829
5.600	+1.401e+03	+4.919e+03	+9.786e+03	+0.778
5.800	+6.457e+03	+2.180e+03	+6.992e+03	+0.252
6.000	+7.926e+03	+1.299e+03	+8.223e+03	+0.141
