%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+2.425e+00
2	2	+2.425e+00	+3.702e+00
1	1	+6.127e+00	+2.461e+00
2	2	+8.588e+00	+5.847e-01
1	1	+9.173e+00	+2.501e-01
2	2	+9.423e+00	+1.862e+01
1	1	+2.804e+01	+2.637e+00
2	2	+3.068e+01	+1.044e+00
1	1	+3.172e+01	+7.748e+00
2	2	+3.947e+01	+1.367e+01
1	1	+5.315e+01	+2.416e+00
2	2	+5.556e+01	+2.651e+00
1	1	+5.821e+01	+6.182e-01
2	2	+5.883e+01	+2.261e+00
1	1	+6.109e+01	+9.275e+00
2	2	+7.037e+01	+2.000e+00
1	1	+7.237e+01	+1.563e-01
2	2	+7.252e+01	+4.457e+00
1	1	+7.698e+01	+2.660e+00
2	2	+7.964e+01	+8.247e-01
1	1	+8.047e+01	+4.415e+00
2	2	+8.488e+01	+5.702e-01
1	1	+8.545e+01	+2.241e+00
2	2	+8.769e+01	+1.943e+00
1	1	+8.964e+01	+2.036e+00
2	2	+9.167e+01	+6.551e+00
1	1	+9.822e+01	+1.813e-01
2	2	+9.840e+01	+5.730e+00
1	1	+1.041e+02	+1.448e+00
2	2	+1.056e+02	+3.096e+00
1	1	+1.087e+02	+6.387e-01
2	2	+1.093e+02	+1.708e+00
1	1	+1.110e+02	+6.750e+00
2	2	+1.178e+02	+1.885e+01
1	1	+1.366e+02	+1.637e+00
2	2	+1.383e+02	+1.243e+01
1	1	+1.507e+02	+3.024e+00
2	2	+1.537e+02	+9.398e-01
1	1	+1.547e+02	+2.342e+00
2	2	+1.570e+02	+7.362e+00
1	1	+1.644e+02	+1.379e+00
2	2	+1.657e+02	+3.810e+00
1	1	+1.696e+02	+3.653e+00
2	2	+1.732e+02	+8.380e-01
1	1	+1.740e+02	+7.121e-01
2	2	+1.748e+02	+9.382e-01
1	1	+1.757e+02	+8.897e+00
2	2	+1.846e+02	+1.153e+01
1	1	+1.961e+02	+1.849e+00
2	2	+1.980e+02	+4.939e-01
1	1	+1.985e+02	+1.555e+00
2	2	+2.000e+02	+1.852e+00
1	1	+2.019e+02	+1.209e+00
2	2	+2.031e+02	+9.188e-01
1	1	+2.040e+02	+2.103e+00
0	0	+2.061e+02	+Inf
