%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+2.676e+00
2	2	+2.676e+00	+6.605e+00
1	1	+9.281e+00	+2.653e+00
2	2	+1.193e+01	+1.439e+01
1	1	+2.632e+01	+9.567e+00
2	2	+3.589e+01	+8.250e+00
1	1	+4.414e+01	+9.025e+00
2	2	+5.317e+01	+1.049e+00
1	1	+5.421e+01	+1.283e+00
2	2	+5.550e+01	+7.845e+00
1	1	+6.334e+01	+4.479e+00
2	2	+6.782e+01	+2.014e+00
1	1	+6.983e+01	+1.497e-01
2	2	+6.998e+01	+1.099e+01
1	1	+8.097e+01	+1.996e+00
2	2	+8.297e+01	+1.524e+00
1	1	+8.449e+01	+7.444e-01
2	2	+8.524e+01	+3.720e+00
1	1	+8.896e+01	+1.359e+00
2	2	+9.032e+01	+5.861e-01
1	1	+9.090e+01	+7.294e+00
2	2	+9.820e+01	+7.324e+00
1	1	+1.055e+02	+3.076e+00
2	2	+1.086e+02	+1.058e+00
1	1	+1.097e+02	+2.581e+00
2	2	+1.122e+02	+8.728e+00
1	1	+1.210e+02	+6.031e-02
2	2	+1.210e+02	+1.956e+00
1	1	+1.230e+02	+8.576e+00
2	2	+1.316e+02	+8.386e-01
1	1	+1.324e+02	+2.178e-01
2	2	+1.326e+02	+2.599e+01
1	1	+1.586e+02	+9.745e+00
2	2	+1.683e+02	+1.424e+00
1	1	+1.698e+02	+3.599e+00
2	2	+1.734e+02	+9.808e-01
1	1	+1.744e+02	+8.318e+00
2	2	+1.827e+02	+8.899e-01
1	1	+1.836e+02	+8.927e+00
2	2	+1.925e+02	+3.657e+00
1	1	+1.961e+02	+2.720e-02
2	2	+1.962e+02	+1.059e+01
1	1	+2.068e+02	+2.706e+00
2	2	+2.095e+02	+1.951e+00
1	1	+2.114e+02	+1.099e+00
2	2	+2.125e+02	+1.755e+00
1	1	+2.143e+02	+1.451e+00
2	2	+2.157e+02	+3.586e-01
1	1	+2.161e+02	+2.132e+00
2	2	+2.182e+02	+7.637e+00
1	1	+2.259e+02	+6.263e+00
2	2	+2.321e+02	+2.667e+00
1	1	+2.348e+02	+1.253e+01
2	2	+2.473e+02	+4.998e+00
1	1	+2.523e+02	+8.568e+00
2	2	+2.609e+02	+6.401e+00
1	1	+2.673e+02	+3.687e+00
2	2	+2.710e+02	+3.306e+00
1	1	+2.743e+02	+7.132e-01
2	2	+2.750e+02	+8.765e-01
0	0	+2.759e+02	+Inf
