%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+2.557e-01
2	2	+2.557e-01	+6.620e+00
1	1	+6.876e+00	+4.840e-01
2	2	+7.360e+00	+9.930e+00
1	1	+1.729e+01	+2.485e+00
2	2	+1.977e+01	+4.897e+00
1	1	+2.467e+01	+1.992e+00
2	2	+2.666e+01	+1.102e+01
1	1	+3.769e+01	+1.722e-01
2	2	+3.786e+01	+1.372e+01
1	1	+5.158e+01	+5.787e+00
2	2	+5.737e+01	+1.370e+01
1	1	+7.107e+01	+3.466e-01
2	2	+7.142e+01	+3.341e+00
1	1	+7.476e+01	+2.764e+00
2	2	+7.753e+01	+2.676e+00
1	1	+8.020e+01	+1.939e+00
2	2	+8.214e+01	+2.686e+00
1	1	+8.483e+01	+1.087e+00
2	2	+8.591e+01	+3.825e+00
1	1	+8.974e+01	+1.407e+01
2	2	+1.038e+02	+3.648e+00
1	1	+1.075e+02	+8.903e-02
2	2	+1.075e+02	+1.875e+00
1	1	+1.094e+02	+8.982e+00
2	2	+1.184e+02	+1.762e+00
1	1	+1.202e+02	+1.438e+00
2	2	+1.216e+02	+5.105e-01
1	1	+1.221e+02	+5.543e-01
2	2	+1.227e+02	+5.686e-01
1	1	+1.232e+02	+5.506e-01
2	2	+1.238e+02	+3.448e+00
1	1	+1.272e+02	+1.361e+00
2	2	+1.286e+02	+3.007e+00
1	1	+1.316e+02	+4.969e+00
2	2	+1.366e+02	+7.584e-01
1	1	+1.373e+02	+2.883e+00
2	2	+1.402e+02	+1.465e-01
1	1	+1.404e+02	+9.015e+00
2	2	+1.494e+02	+1.119e+01
1	1	+1.606e+02	+6.079e-02
2	2	+1.606e+02	+6.995e+00
1	1	+1.676e+02	+2.425e-01
2	2	+1.679e+02	+1.149e+00
1	1	+1.690e+02	+2.566e+00
2	2	+1.716e+02	+2.769e+01
1	1	+1.993e+02	+4.053e+00
2	2	+2.033e+02	+1.599e+00
1	1	+2.049e+02	+2.709e+00
2	2	+2.076e+02	+2.908e+00
1	1	+2.105e+02	+4.652e+00
2	2	+2.152e+02	+2.206e+00
1	1	+2.174e+02	+1.920e+00
2	2	+2.193e+02	+6.402e+00
1	1	+2.257e+02	+3.832e+00
2	2	+2.296e+02	+7.713e-01
1	1	+2.303e+02	+5.846e+00
2	2	+2.362e+02	+6.619e+00
1	1	+2.428e+02	+3.621e+00
2	2	+2.464e+02	+1.323e+00
1	1	+2.477e+02	+1.250e+00
2	2	+2.490e+02	+1.604e+00
1	1	+2.506e+02	+2.705e+00
2	2	+2.533e+02	+7.022e+00
1	1	+2.603e+02	+3.296e+00
2	2	+2.636e+02	+3.275e+01
1	1	+2.964e+02	+7.843e-01
2	2	+2.971e+02	+1.438e+01
1	1	+3.115e+02	+1.629e+00
2	2	+3.132e+02	+4.576e+00
1	1	+3.177e+02	+8.933e-01
2	2	+3.186e+02	+2.942e+00
1	1	+3.216e+02	+1.907e+00
2	2	+3.235e+02	+6.418e+00
1	1	+3.299e+02	+5.569e+00
2	2	+3.355e+02	+2.154e+00
1	1	+3.376e+02	+6.246e-01
2	2	+3.382e+02	+7.864e+00
1	1	+3.461e+02	+8.951e+00
2	2	+3.551e+02	+8.323e+00
1	1	+3.634e+02	+8.893e-01
2	2	+3.643e+02	+4.357e-01
1	1	+3.647e+02	+7.558e+00
2	2	+3.723e+02	+4.821e+00
1	1	+3.771e+02	+1.762e+00
2	2	+3.788e+02	+1.652e+00
1	1	+3.805e+02	+1.577e-02
2	2	+3.805e+02	+5.896e+00
1	1	+3.864e+02	+1.739e+00
2	2	+3.881e+02	+9.239e-01
1	1	+3.891e+02	+3.287e+00
2	2	+3.924e+02	+4.274e+00
1	1	+3.966e+02	+3.373e+00
0	0	+4.000e+02	+Inf
