%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+2.974e+00
1	1	+2.974e+00	+2.377e+00
2	2	+5.352e+00	+1.771e+01
1	1	+2.306e+01	+2.633e+00
2	2	+2.570e+01	+1.208e+01
1	1	+3.777e+01	+6.823e+00
2	2	+4.460e+01	+7.542e+00
1	1	+5.214e+01	+8.103e-01
2	2	+5.295e+01	+1.964e+00
1	1	+5.491e+01	+5.178e+00
2	2	+6.009e+01	+1.311e+01
1	1	+7.320e+01	+3.580e+00
2	2	+7.678e+01	+3.765e+00
1	1	+8.055e+01	+2.176e+00
2	2	+8.273e+01	+4.137e+00
1	1	+8.686e+01	+2.250e+00
2	2	+8.911e+01	+3.326e+01
1	1	+1.224e+02	+2.187e+00
2	2	+1.246e+02	+2.772e+00
1	1	+1.273e+02	+9.487e+00
2	2	+1.368e+02	+1.361e+00
0	0	+1.382e+02	+Inf
