%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+2.657e+01
1	1	+2.657e+01	+1.132e+00
2	2	+2.770e+01	+2.155e+00
1	1	+2.986e+01	+8.359e+00
2	2	+3.822e+01	+5.878e+00
1	1	+4.410e+01	+2.277e+00
2	2	+4.637e+01	+7.622e-01
1	1	+4.714e+01	+2.784e+00
2	2	+4.992e+01	+2.203e-01
1	1	+5.014e+01	+5.424e+00
2	2	+5.557e+01	+1.386e+00
1	1	+5.695e+01	+2.098e+00
2	2	+5.905e+01	+4.414e+00
1	1	+6.346e+01	+2.115e+00
2	2	+6.558e+01	+2.468e+00
1	1	+6.805e+01	+3.710e-01
2	2	+6.842e+01	+1.059e+00
1	1	+6.948e+01	+1.188e+00
2	2	+7.066e+01	+6.252e+00
0	0	+7.691e+01	+Inf
