%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+9.591e+00
1	1	+9.591e+00	+2.637e+00
2	2	+1.223e+01	+1.046e+01
1	1	+2.269e+01	+1.838e+00
2	2	+2.453e+01	+3.115e-01
1	1	+2.484e+01	+3.221e-01
2	2	+2.516e+01	+1.455e+00
1	1	+2.661e+01	+8.141e+00
2	2	+3.475e+01	+6.336e-01
1	1	+3.539e+01	+1.646e+01
2	2	+5.185e+01	+8.548e+00
1	1	+6.039e+01	+1.977e+00
2	2	+6.237e+01	+6.440e-01
1	1	+6.301e+01	+9.467e+00
2	2	+7.248e+01	+6.630e-01
1	1	+7.314e+01	+2.798e+00
2	2	+7.594e+01	+4.910e+00
1	1	+8.085e+01	+9.715e-01
2	2	+8.182e+01	+9.364e+00
1	1	+9.119e+01	+2.676e-01
2	2	+9.146e+01	+7.515e-01
1	1	+9.221e+01	+2.912e+00
2	2	+9.512e+01	+5.193e-01
1	1	+9.564e+01	+2.859e+00
2	2	+9.850e+01	+7.427e-01
1	1	+9.924e+01	+1.339e+00
2	2	+1.006e+02	+3.875e-01
1	1	+1.010e+02	+3.426e+00
2	2	+1.044e+02	+3.099e+00
1	1	+1.075e+02	+7.976e+00
2	2	+1.155e+02	+9.889e-01
1	1	+1.165e+02	+1.735e-01
2	2	+1.166e+02	+4.403e+00
1	1	+1.210e+02	+1.164e+00
2	2	+1.222e+02	+7.207e+00
1	1	+1.294e+02	+2.372e+00
2	2	+1.318e+02	+4.121e+00
1	1	+1.359e+02	+4.117e+00
2	2	+1.400e+02	+1.265e+01
1	1	+1.527e+02	+2.122e+00
2	2	+1.548e+02	+1.363e+01
1	1	+1.684e+02	+4.838e+00
2	2	+1.732e+02	+5.275e+00
1	1	+1.785e+02	+4.770e+00
2	2	+1.833e+02	+8.537e+00
1	1	+1.918e+02	+1.418e+01
2	2	+2.060e+02	+7.741e+00
1	1	+2.138e+02	+1.281e+01
2	2	+2.266e+02	+1.908e+00
1	1	+2.285e+02	+2.247e+00
2	2	+2.307e+02	+7.733e-01
1	1	+2.315e+02	+3.865e+00
2	2	+2.354e+02	+3.649e+00
1	1	+2.390e+02	+2.634e+00
2	2	+2.416e+02	+8.721e+00
1	1	+2.504e+02	+1.108e+00
2	2	+2.515e+02	+1.215e+00
1	1	+2.527e+02	+8.325e+00
2	2	+2.610e+02	+3.936e+00
1	1	+2.649e+02	+1.432e+00
2	2	+2.664e+02	+7.862e+00
1	1	+2.742e+02	+7.635e-01
2	2	+2.750e+02	+7.905e+00
1	1	+2.829e+02	+1.828e+01
2	2	+3.012e+02	+7.838e+00
1	1	+3.090e+02	+1.378e+01
2	2	+3.228e+02	+7.908e+00
1	1	+3.307e+02	+3.418e+00
2	2	+3.341e+02	+1.371e+01
1	1	+3.478e+02	+2.097e+00
2	2	+3.499e+02	+2.736e+00
1	1	+3.527e+02	+2.192e+00
2	2	+3.549e+02	+1.757e+01
1	1	+3.724e+02	+3.056e-01
2	2	+3.727e+02	+6.105e+00
1	1	+3.788e+02	+9.747e-01
2	2	+3.798e+02	+3.665e+00
1	1	+3.835e+02	+3.281e+00
2	2	+3.868e+02	+9.333e+00
1	1	+3.961e+02	+3.015e-01
2	2	+3.964e+02	+3.597e+00
0	0	+4.000e+02	+Inf
