%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+6.734e-01
1	1	+6.734e-01	+1.132e+01
2	2	+1.200e+01	+7.854e-01
1	1	+1.278e+01	+2.407e+00
2	2	+1.519e+01	+5.061e+00
1	1	+2.025e+01	+3.430e-01
2	2	+2.059e+01	+1.634e+01
1	1	+3.693e+01	+6.371e+00
2	2	+4.330e+01	+3.888e+00
1	1	+4.719e+01	+1.065e+01
2	2	+5.784e+01	+2.532e-01
1	1	+5.810e+01	+8.393e+00
2	2	+6.649e+01	+2.845e+00
1	1	+6.933e+01	+2.148e+00
2	2	+7.148e+01	+6.143e+00
1	1	+7.763e+01	+2.272e+00
2	2	+7.990e+01	+3.377e+00
1	1	+8.328e+01	+2.716e+00
2	2	+8.599e+01	+2.402e+00
1	1	+8.839e+01	+3.524e+00
2	2	+9.192e+01	+1.222e+01
1	1	+1.041e+02	+1.621e+00
2	2	+1.058e+02	+2.659e+01
1	1	+1.323e+02	+6.861e+00
2	2	+1.392e+02	+4.213e+00
1	1	+1.434e+02	+5.909e+00
2	2	+1.493e+02	+6.655e-01
1	1	+1.500e+02	+9.361e+00
2	2	+1.594e+02	+1.864e+01
0	0	+1.780e+02	+Inf
