%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+3.438e-01
2	2	+3.438e-01	+2.092e+01
1	1	+2.126e+01	+4.815e+00
2	2	+2.607e+01	+8.956e+00
1	1	+3.503e+01	+2.137e+00
2	2	+3.717e+01	+4.178e+00
1	1	+4.135e+01	+1.338e-01
2	2	+4.148e+01	+9.181e-01
1	1	+4.240e+01	+7.933e+00
2	2	+5.033e+01	+1.372e+00
1	1	+5.170e+01	+7.331e+00
2	2	+5.903e+01	+9.722e+00
1	1	+6.875e+01	+2.097e+00
2	2	+7.085e+01	+5.979e-01
1	1	+7.145e+01	+3.691e+00
2	2	+7.514e+01	+1.254e+00
1	1	+7.639e+01	+1.469e+00
2	2	+7.786e+01	+1.258e+01
1	1	+9.045e+01	+4.014e-01
2	2	+9.085e+01	+7.167e-01
1	1	+9.156e+01	+5.163e+00
2	2	+9.673e+01	+9.275e+00
1	1	+1.060e+02	+7.911e+00
2	2	+1.139e+02	+1.621e+00
0	0	+1.155e+02	+Inf
