%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+5.676e-01
1	1	+5.676e-01	+2.650e-01
2	2	+8.326e-01	+5.395e+00
1	1	+6.227e+00	+7.877e+00
2	2	+1.410e+01	+1.193e+01
1	1	+2.604e+01	+5.047e+00
2	2	+3.108e+01	+1.473e+00
1	1	+3.256e+01	+3.339e+00
2	2	+3.590e+01	+3.890e-02
1	1	+3.593e+01	+3.257e+00
2	2	+3.919e+01	+1.982e+00
1	1	+4.117e+01	+7.246e+00
2	2	+4.842e+01	+2.075e+01
1	1	+6.917e+01	+6.223e-01
2	2	+6.979e+01	+1.128e+01
1	1	+8.107e+01	+1.084e+01
2	2	+9.191e+01	+2.101e+01
1	1	+1.129e+02	+1.123e-01
2	2	+1.130e+02	+1.353e-01
1	1	+1.132e+02	+1.438e+01
2	2	+1.275e+02	+2.587e+00
1	1	+1.301e+02	+1.649e+01
2	2	+1.466e+02	+3.652e-02
1	1	+1.467e+02	+2.982e+00
2	2	+1.496e+02	+1.799e+00
1	1	+1.514e+02	+3.243e+00
2	2	+1.547e+02	+2.241e+00
1	1	+1.569e+02	+5.211e+00
2	2	+1.621e+02	+3.179e+00
1	1	+1.653e+02	+2.524e+00
2	2	+1.678e+02	+3.244e-01
1	1	+1.682e+02	+8.841e-01
2	2	+1.690e+02	+6.323e+00
1	1	+1.754e+02	+3.477e+00
2	2	+1.788e+02	+3.263e+00
1	1	+1.821e+02	+1.436e+00
2	2	+1.835e+02	+9.879e-01
1	1	+1.845e+02	+4.937e+00
2	2	+1.895e+02	+3.371e+00
1	1	+1.928e+02	+6.361e+00
2	2	+1.992e+02	+2.816e+00
1	1	+2.020e+02	+3.478e+00
2	2	+2.055e+02	+6.044e+00
1	1	+2.115e+02	+1.066e+00
2	2	+2.126e+02	+1.474e+00
1	1	+2.141e+02	+1.144e+00
2	2	+2.152e+02	+5.288e+00
1	1	+2.205e+02	+7.038e+00
2	2	+2.276e+02	+6.680e+00
1	1	+2.342e+02	+8.827e+00
2	2	+2.431e+02	+4.546e+00
1	1	+2.476e+02	+5.199e+00
2	2	+2.528e+02	+1.611e+00
1	1	+2.544e+02	+3.486e+00
2	2	+2.579e+02	+1.450e+00
1	1	+2.593e+02	+1.756e+01
2	2	+2.769e+02	+9.101e-01
1	1	+2.778e+02	+1.865e-01
2	2	+2.780e+02	+3.931e-01
1	1	+2.784e+02	+1.407e+00
2	2	+2.798e+02	+9.795e+00
1	1	+2.896e+02	+3.088e+00
2	2	+2.927e+02	+5.688e+00
1	1	+2.984e+02	+2.619e+00
2	2	+3.010e+02	+6.749e+00
1	1	+3.077e+02	+7.543e-01
2	2	+3.085e+02	+7.999e+00
1	1	+3.165e+02	+1.043e+01
2	2	+3.269e+02	+2.575e+00
1	1	+3.295e+02	+2.265e-01
2	2	+3.297e+02	+2.743e-01
1	1	+3.300e+02	+3.542e-01
2	2	+3.304e+02	+4.335e+00
1	1	+3.347e+02	+7.065e+00
2	2	+3.418e+02	+1.357e+01
1	1	+3.553e+02	+6.234e+00
2	2	+3.616e+02	+7.373e-02
1	1	+3.616e+02	+2.234e+00
2	2	+3.639e+02	+1.324e+01
1	1	+3.771e+02	+6.035e-01
2	2	+3.777e+02	+1.171e+00
1	1	+3.789e+02	+5.512e+00
2	2	+3.844e+02	+4.478e+00
1	1	+3.889e+02	+1.720e+00
2	2	+3.906e+02	+9.402e+00
0	0	+4.000e+02	+Inf
