%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+8.772e+00
1	1	+8.772e+00	+5.119e+00
2	2	+1.389e+01	+2.712e+00
1	1	+1.660e+01	+1.029e+01
2	2	+2.689e+01	+7.429e+00
1	1	+3.432e+01	+1.182e+01
2	2	+4.614e+01	+8.397e+00
1	1	+5.454e+01	+7.263e-02
2	2	+5.461e+01	+6.541e+00
1	1	+6.115e+01	+1.361e+00
2	2	+6.251e+01	+8.177e-02
1	1	+6.259e+01	+1.178e+01
2	2	+7.438e+01	+6.993e+00
1	1	+8.137e+01	+3.133e+00
2	2	+8.450e+01	+1.723e-01
1	1	+8.467e+01	+1.499e+00
2	2	+8.617e+01	+7.009e-01
1	1	+8.687e+01	+2.339e+00
2	2	+8.921e+01	+4.750e+00
1	1	+9.396e+01	+1.409e+00
2	2	+9.537e+01	+1.236e+00
1	1	+9.661e+01	+4.993e+00
2	2	+1.016e+02	+4.702e+00
1	1	+1.063e+02	+8.654e-01
2	2	+1.072e+02	+7.307e-01
1	1	+1.079e+02	+2.743e-02
2	2	+1.079e+02	+7.067e+00
1	1	+1.150e+02	+2.769e+00
2	2	+1.178e+02	+1.667e+01
1	1	+1.344e+02	+3.140e+00
2	2	+1.376e+02	+7.552e+00
1	1	+1.451e+02	+1.353e+00
2	2	+1.465e+02	+2.019e+00
1	1	+1.485e+02	+6.771e-01
2	2	+1.492e+02	+1.415e+01
1	1	+1.633e+02	+9.471e+00
2	2	+1.728e+02	+4.503e+00
1	1	+1.773e+02	+2.544e+00
2	2	+1.798e+02	+9.040e+00
1	1	+1.889e+02	+7.227e-01
2	2	+1.896e+02	+4.214e+00
0	0	+1.938e+02	+Inf
