%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+4.873e+03	+2.032e+03	+7.129e+03	+0.294
0.200	+8.335e+03	+7.526e+02	+8.596e+03	+0.083
0.400	+5.238e+03	+1.411e+03	+5.369e+03	+0.212
0.600	+6.334e+03	+2.077e+03	+6.952e+03	+0.247
0.800	+6.107e+03	+1.339e+03	+6.265e+03	+0.180
1.000	+6.431e+03	+1.444e+03	+9.053e+03	+0.183
1.200	+5.409e+03	+2.000e+03	+7.477e+03	+0.270
1.400	+7.207e+03	+1.353e+03	+6.940e+03	+0.158
1.600	+6.617e+03	+1.155e+03	+8.910e+03	+0.149
1.800	+6.366e+03	+1.408e+03	+6.662e+03	+0.181
2.000	+7.788e+03	+1.810e+03	+6.315e+03	+0.189
2.200	+5.943e+03	+1.748e+03	+7.203e+03	+0.227
2.400	+4.928e+03	+2.540e+03	+4.955e+03	+0.340
2.600	+5.830e+03	+1.687e+03	+8.819e+03	+0.224
2.800	+5.592e+03	+1.909e+03	+8.379e+03	+0.254
3.000	+7.116e+03	+1.530e+03	+5.619e+03	+0.177
3.200	+6.335e+03	+1.237e+03	+7.220e+03	+0.163
3.400	+6.854e+03	+5.442e+02	+7.719e+03	+0.074
3.600	+6.377e+03	+1.859e+03	+8.536e+03	+0.226
3.800	+5.214e+03	+4.777e+02	+7.315e+03	+0.084
4.000	+6.671e+03	+1.944e+03	+7.945e+03	+0.226
4.200	+6.360e+03	+1.648e+03	+5.488e+03	+0.206
4.400	+6.048e+03	+8.959e+02	+5.569e+03	+0.129
4.600	+7.167e+03	+2.820e+03	+7.373e+03	+0.282
4.800	+6.152e+03	+1.595e+03	+9.660e+03	+0.206
5.000	+4.088e+03	+2.519e+03	+7.080e+03	+0.381
5.200	+5.548e+03	+2.471e+03	+7.278e+03	+0.308
5.400	+5.210e+03	+1.047e+03	+5.183e+03	+0.167
5.600	+5.305e+03	+2.478e+03	+5.129e+03	+0.318
5.800	+6.512e+03	+8.762e+02	+8.309e+03	+0.119
6.000	+5.341e+03	+2.245e+03	+8.703e+03	+0.296
6.200	+6.546e+03	+1.083e+03	+8.924e+03	+0.142
6.400	+5.545e+03	+9.973e+02	+7.364e+03	+0.152
6.600	+5.275e+03	+1.658e+03	+7.028e+03	+0.239
6.800	+5.849e+03	+1.925e+03	+6.736e+03	+0.248
7.000	+5.730e+03	+1.350e+03	+6.882e+03	+0.191
7.200	+5.699e+03	+2.588e+03	+7.706e+03	+0.312
7.400	+5.762e+03	+6.666e+02	+8.393e+03	+0.104
7.600	+6.616e+03	+1.335e+03	+7.551e+03	+0.168
7.800	+6.323e+03	+7.344e+02	+8.480e+03	+0.104
8.000	+7.351e+03	+1.777e+03	+9.038e+03	+0.195
8.200	+3.314e+03	+3.910e+03	+7.592e+03	+0.541
8.400	+7.741e+03	+1.418e+03	+7.255e+03	+0.155
8.600	+6.096e+03	+1.939e+03	+6.334e+03	+0.241
8.800	+5.151e+03	+2.059e+03	+7.744e+03	+0.286
9.000	+5.422e+03	+2.323e+03	+6.395e+03	+0.300
9.200	+6.503e+03	+1.235e+03	+7.887e+03	+0.160
9.400	+4.390e+03	+1.175e+03	+8.621e+03	+0.211
9.600	+7.514e+03	+1.439e+03	+5.495e+03	+0.161
9.800	+6.140e+03	+1.274e+03	+8.024e+03	+0.172
10.000	+6.281e+03	+7.732e+02	+6.238e+03	+0.110
10.200	+5.204e+03	+6.536e+02	+7.399e+03	+0.112
10.400	+6.299e+03	+2.385e+03	+8.661e+03	+0.275
10.600	+8.560e+03	+2.907e+03	+6.934e+03	+0.254
10.800	+6.076e+03	+1.699e+03	+6.036e+03	+0.218
11.000	+5.749e+03	+1.086e+03	+7.757e+03	+0.159
11.200	+6.527e+03	+2.266e+03	+6.697e+03	+0.258
11.400	+5.946e+03	+9.036e+02	+8.540e+03	+0.132
11.600	+6.529e+03	+1.216e+03	+7.688e+03	+0.157
11.800	+6.235e+03	+7.837e+02	+4.746e+03	+0.112
12.000	+5.059e+03	+2.621e+02	+7.550e+03	+0.049
12.200	+3.962e+03	+1.944e+03	+6.848e+03	+0.329
12.400	+4.916e+03	+2.194e+03	+7.325e+03	+0.309
12.600	+5.316e+03	+1.895e+03	+9.523e+03	+0.263
12.800	+3.822e+03	+3.304e+03	+8.367e+03	+0.464
13.000	+1.941e+03	+4.179e+03	+8.881e+03	+0.683
13.200	+2.660e+03	+5.661e+03	+6.701e+03	+0.680
13.400	+7.909e+02	+5.008e+03	+7.429e+03	+0.864
13.600	+1.054e+03	+6.021e+03	+7.105e+03	+0.851
13.800	+8.478e+02	+5.375e+03	+8.243e+03	+0.864
14.000	+2.269e+03	+6.425e+03	+7.269e+03	+0.739
14.200	+1.654e+03	+5.082e+03	+7.049e+03	+0.754
14.400	+2.535e+03	+6.097e+03	+7.671e+03	+0.706
14.600	+1.602e+03	+5.998e+03	+8.690e+03	+0.789
14.800	+1.771e+03	+5.782e+03	+7.145e+03	+0.766
15.000	+3.121e+03	+5.247e+03	+8.485e+03	+0.627
15.200	+2.641e+03	+6.459e+03	+8.359e+03	+0.710
15.400	+1.642e+03	+4.314e+03	+7.829e+03	+0.724
15.600	+1.115e+03	+5.325e+03	+7.328e+03	+0.827
15.800	+2.243e+03	+4.838e+03	+6.252e+03	+0.683
16.000	+2.886e+03	+4.705e+03	+8.576e+03	+0.620
16.200	+1.315e+03	+6.122e+03	+7.147e+03	+0.823
16.400	+3.328e+03	+4.125e+03	+6.955e+03	+0.553
16.600	+1.950e+03	+7.643e+03	+6.730e+03	+0.797
16.800	+3.067e+03	+5.799e+03	+8.982e+03	+0.654
17.000	+7.161e+02	+6.112e+03	+7.801e+03	+0.895
17.200	+2.065e+03	+6.020e+03	+7.752e+03	+0.745
17.400	+3.531e+03	+5.939e+03	+7.281e+03	+0.627
17.600	+1.165e+03	+5.300e+03	+7.169e+03	+0.820
17.800	+2.662e+03	+5.497e+03	+7.018e+03	+0.674
18.000	+1.894e+03	+6.009e+03	+6.133e+03	+0.760
18.200	+1.591e+03	+5.305e+03	+7.669e+03	+0.769
18.400	+1.832e+03	+5.855e+03	+5.772e+03	+0.762
18.600	+4.740e+03	+2.554e+03	+7.746e+03	+0.350
18.800	+5.611e+03	+1.532e+03	+5.750e+03	+0.215
19.000	+4.766e+03	+2.284e+03	+7.244e+03	+0.324
19.200	+2.674e+03	+2.687e+03	+7.333e+03	+0.501
19.400	+1.326e+03	+6.126e+03	+6.785e+03	+0.822
19.600	+4.785e+02	+5.146e+03	+6.779e+03	+0.915
19.800	+9.241e+01	+5.292e+03	+8.566e+03	+0.983
20.000	+1.870e+03	+5.915e+03	+5.907e+03	+0.760
20.200	+2.871e+03	+4.231e+03	+7.886e+03	+0.596
20.400	+2.014e+03	+6.566e+03	+6.113e+03	+0.765
20.600	+8.466e+02	+5.849e+03	+7.256e+03	+0.874
20.800	+2.417e+03	+3.915e+03	+8.696e+03	+0.618
21.000	+1.738e+03	+4.790e+03	+8.274e+03	+0.734
21.200	+1.366e+03	+5.162e+03	+7.508e+03	+0.791
21.400	+5.805e+02	+5.851e+03	+5.617e+03	+0.910
21.600	+3.555e+03	+6.393e+03	+8.283e+03	+0.643
21.800	+1.558e+03	+7.516e+03	+7.031e+03	+0.828
22.000	+2.823e+03	+6.258e+03	+7.617e+03	+0.689
22.200	+1.150e+03	+7.479e+03	+7.602e+03	+0.867
22.400	+1.902e+03	+6.137e+03	+7.046e+03	+0.763
22.600	+1.929e+03	+5.705e+03	+7.574e+03	+0.747
22.800	+4.144e+03	+4.728e+03	+5.207e+03	+0.533
23.000	+1.812e+03	+5.432e+03	+7.602e+03	+0.750
23.200	+1.654e+03	+4.075e+03	+8.271e+03	+0.711
23.400	+3.455e+03	+5.440e+03	+6.864e+03	+0.612
23.600	+1.280e+03	+5.096e+03	+6.614e+03	+0.799
23.800	+2.705e+03	+4.261e+03	+9.471e+03	+0.612
24.000	+1.848e+03	+3.677e+03	+8.001e+03	+0.666
24.200	+1.263e+03	+5.274e+03	+7.321e+03	+0.807
24.400	+1.446e+03	+3.740e+03	+9.385e+03	+0.721
24.600	+3.132e+03	+6.132e+03	+8.085e+03	+0.662
24.800	+2.151e+03	+4.850e+03	+8.101e+03	+0.693
25.000	+3.108e+03	+5.146e+03	+7.147e+03	+0.623
25.200	+1.621e+03	+7.175e+03	+7.671e+03	+0.816
25.400	+1.190e+03	+5.027e+03	+6.914e+03	+0.809
25.600	+1.223e+03	+5.957e+03	+7.788e+03	+0.830
25.800	+1.033e+03	+6.268e+03	+8.696e+03	+0.859
26.000	+2.006e+03	+5.796e+03	+6.828e+03	+0.743
26.200	+1.578e+03	+5.560e+03	+6.578e+03	+0.779
26.400	+1.806e+03	+4.864e+03	+7.048e+03	+0.729
26.600	+4.284e+02	+4.379e+03	+7.256e+03	+0.911
26.800	+1.646e+03	+5.614e+03	+6.956e+03	+0.773
27.000	+2.315e+03	+5.111e+03	+8.647e+03	+0.688
27.200	+1.321e+03	+5.118e+03	+9.056e+03	+0.795
27.400	+1.636e+03	+6.534e+03	+5.855e+03	+0.800
27.600	+2.944e+03	+5.518e+03	+7.772e+03	+0.652
27.800	+2.813e+03	+4.698e+03	+7.201e+03	+0.625
28.000	+2.467e+03	+4.816e+03	+8.649e+03	+0.661
28.200	+1.799e+03	+4.662e+03	+7.853e+03	+0.722
28.400	+2.743e+03	+4.908e+03	+1.097e+04	+0.641
28.600	+4.960e+03	+3.267e+03	+8.960e+03	+0.397
28.800	+6.173e+03	+1.782e+03	+8.120e+03	+0.224
29.000	+6.804e+03	+2.079e+03	+9.676e+03	+0.234
29.200	+5.842e+03	+1.665e+03	+7.804e+03	+0.222
29.400	+7.412e+03	+1.649e+03	+6.587e+03	+0.182
29.600	+7.474e+03	-2.455e+02	+7.482e+03	-0.034
29.800	+6.641e+03	+1.468e+03	+7.300e+03	+0.181
30.000	+4.296e+03	+4.709e+02	+7.475e+03	+0.099
30.200	+4.010e+03	+1.305e+03	+6.300e+03	+0.246
30.400	+6.683e+03	+1.401e+03	+5.445e+03	+0.173
30.600	+5.536e+03	+2.328e+03	+7.518e+03	+0.296
30.800	+5.724e+03	+1.940e+03	+7.327e+03	+0.253
31.000	+4.895e+03	+1.190e+03	+7.671e+03	+0.196
31.200	+5.317e+03	+1.395e+03	+7.640e+03	+0.208
31.400	+4.306e+03	+1.328e+03	+5.472e+03	+0.236
31.600	+6.170e+03	+1.856e+03	+8.134e+03	+0.231
31.800	+6.207e+03	+2.736e+02	+7.405e+03	+0.042
32.000	+5.067e+03	-1.647e+02	+7.724e+03	-0.034
32.200	+6.258e+03	+1.374e+03	+7.028e+03	+0.180
32.400	+5.325e+03	+1.289e+03	+6.334e+03	+0.195
32.600	+5.734e+03	+1.635e+03	+6.255e+03	+0.222
32.800	+5.966e+03	+8.361e+01	+5.888e+03	+0.014
33.000	+7.243e+03	+1.650e+03	+8.102e+03	+0.186
33.200	+4.673e+03	+1.786e+03	+6.354e+03	+0.277
33.400	+6.038e+03	+9.903e+02	+7.368e+03	+0.141
33.600	+7.483e+03	+1.300e+03	+7.336e+03	+0.148
33.800	+5.122e+03	+8.744e+02	+6.772e+03	+0.146
34.000	+5.383e+03	+1.034e+03	+8.382e+03	+0.161
34.200	+5.436e+03	+8.024e+02	+8.634e+03	+0.129
34.400	+3.506e+03	+9.554e+02	+9.362e+03	+0.214
34.600	+5.733e+03	+1.277e+03	+7.935e+03	+0.182
34.800	+6.354e+03	+1.356e+03	+7.667e+03	+0.176
35.000	+5.667e+03	+1.750e+03	+6.939e+03	+0.236
35.200	+2.847e+03	+4.633e+03	+7.667e+03	+0.619
35.400	+2.675e+03	+5.883e+03	+6.916e+03	+0.687
35.600	+1.218e+03	+5.991e+03	+5.252e+03	+0.831
35.800	+1.901e+03	+4.771e+03	+8.491e+03	+0.715
36.000	+2.197e+03	+7.058e+03	+6.593e+03	+0.763
36.200	+3.336e+03	+5.222e+03	+8.368e+03	+0.610
36.400	+1.606e+03	+4.539e+03	+8.043e+03	+0.739
36.600	+1.890e+03	+3.970e+03	+6.120e+03	+0.678
36.800	+1.814e+03	+4.992e+03	+7.185e+03	+0.733
37.000	+1.220e+03	+6.231e+03	+8.927e+03	+0.836
37.200	+2.499e+03	+6.806e+03	+5.005e+03	+0.731
37.400	+2.272e+03	+7.662e+03	+6.603e+03	+0.771
37.600	+2.392e+03	+5.242e+03	+7.690e+03	+0.687
37.800	+7.416e+02	+5.108e+03	+8.846e+03	+0.873
38.000	+2.667e+03	+5.506e+03	+8.150e+03	+0.674
38.200	+2.086e+03	+6.086e+03	+6.985e+03	+0.745
38.400	+9.911e+02	+4.832e+03	+9.227e+03	+0.830
38.600	+2.081e+03	+4.815e+03	+9.582e+03	+0.698
38.800	+3.458e+03	+7.185e+03	+7.783e+03	+0.675
39.000	+2.239e+03	+8.007e+03	+7.730e+03	+0.781
39.200	+1.624e+03	+4.243e+03	+6.451e+03	+0.723
39.400	+2.299e+03	+5.766e+03	+9.200e+03	+0.715
39.600	+2.234e+03	+5.026e+03	+7.227e+03	+0.692
39.800	+1.622e+03	+6.325e+03	+6.526e+03	+0.796
40.000	+9.977e+02	+4.929e+03	+7.351e+03	+0.832
40.200	+2.164e+03	+5.554e+03	+6.522e+03	+0.720
40.400	+2.951e+03	+5.737e+03	+7.614e+03	+0.660
40.600	+1.762e+03	+4.677e+03	+6.856e+03	+0.726
40.800	+2.065e+03	+6.281e+03	+7.794e+03	+0.753
41.000	+1.769e+03	+5.941e+03	+8.803e+03	+0.771
41.200	+1.872e+03	+5.024e+03	+7.115e+03	+0.729
