%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+1.784e+00
2	2	+1.784e+00	+4.751e-01
1	1	+2.259e+00	+9.155e+00
2	2	+1.141e+01	+1.319e+01
1	1	+2.460e+01	+6.890e+00
2	2	+3.149e+01	+1.031e+01
1	1	+4.180e+01	+7.750e+00
2	2	+4.955e+01	+4.248e-01
1	1	+4.998e+01	+6.378e+00
2	2	+5.636e+01	+1.009e+01
1	1	+6.645e+01	+6.084e+00
2	2	+7.253e+01	+3.278e+00
1	1	+7.581e+01	+4.088e-01
2	2	+7.622e+01	+4.278e+00
1	1	+8.050e+01	+5.529e-01
2	2	+8.105e+01	+2.472e+00
1	1	+8.352e+01	+1.882e+00
2	2	+8.540e+01	+2.005e+01
1	1	+1.055e+02	+5.023e+00
2	2	+1.105e+02	+7.765e-01
1	1	+1.113e+02	+2.128e+00
2	2	+1.134e+02	+1.091e+00
1	1	+1.145e+02	+6.288e+00
2	2	+1.208e+02	+4.217e+00
1	1	+1.250e+02	+6.512e-01
2	2	+1.256e+02	+4.061e+00
1	1	+1.297e+02	+3.080e+00
2	2	+1.328e+02	+5.141e+00
1	1	+1.379e+02	+1.249e+00
2	2	+1.392e+02	+1.127e+01
1	1	+1.504e+02	+2.770e-01
2	2	+1.507e+02	+1.019e+01
1	1	+1.609e+02	+1.410e+00
2	2	+1.623e+02	+4.236e+00
1	1	+1.665e+02	+7.647e+00
2	2	+1.742e+02	+2.038e+00
1	1	+1.762e+02	+7.131e+00
2	2	+1.834e+02	+8.952e+00
1	1	+1.923e+02	+2.556e+00
2	2	+1.949e+02	+7.371e+00
1	1	+2.022e+02	+4.223e+00
2	2	+2.065e+02	+3.492e+00
1	1	+2.100e+02	+2.664e+00
2	2	+2.126e+02	+5.716e+00
1	1	+2.183e+02	+9.626e+00
2	2	+2.280e+02	+3.025e+00
1	1	+2.310e+02	+3.652e-01
2	2	+2.313e+02	+6.500e+00
1	1	+2.378e+02	+2.141e+00
2	2	+2.400e+02	+1.041e+00
1	1	+2.410e+02	+5.026e+00
2	2	+2.461e+02	+2.457e+00
1	1	+2.485e+02	+6.638e+00
2	2	+2.552e+02	+8.395e+00
1	1	+2.635e+02	+6.130e-01
2	2	+2.642e+02	+9.945e-01
1	1	+2.652e+02	+9.773e+00
0	0	+2.749e+02	+Inf
